terrain_metric,terrain_metric_label,omitted_station_id,omitted_station,omitted_sector,full_spearman,leave_one_out_spearman,delta_spearman,full_kendall,leave_one_out_kendall,delta_kendall
below_reference_land_pct,lowland_prevalence,esbjerg-130121-denmark,Esbjerg 130121 Denmark,Denmark-Norway,-0.30927205405199065,-0.31762311437465085,-0.008351060322660198,-0.18788410886742754,-0.1940298507462687,-0.006145741878841149
below_reference_land_pct,lowland_prevalence,denhelder-hel-nl,Denhelder Hel Nl,Dutch-German-Bight,-0.30927205405199065,-0.2900869981642589,0.019185055887731728,-0.18788410886742754,-0.17322478516508372,0.014659323702343824
below_reference_land_pct,lowland_prevalence,lerwick-p041-uk,Lerwick P041 Uk,British-North-Sea,-0.30927205405199065,-0.30820496448240087,0.0010670895695897853,-0.18788410886742754,-0.1858887381275441,0.0019953707398834286
below_reference_land_pct,lowland_prevalence,cuxhaven-germany,Cuxhaven Germany,Denmark-Norway,-0.30927205405199065,-0.3351823768856254,-0.025910322833634758,-0.18788410886742754,-0.2066938037087291,-0.018809694841301572
below_reference_land_pct,lowland_prevalence,delfzijl-del-nl,Delfzijl Del Nl,Dutch-German-Bight,-0.30927205405199065,-0.3286774682736053,-0.019405414221614625,-0.18788410886742754,-0.20126639529624607,-0.01338228642881853
below_reference_land_pct,lowland_prevalence,portpatrick-p063-uk,Portpatrick P063 Uk,Atlantic-Celtic,-0.30927205405199065,-0.31790246627823454,-0.008630412226243889,-0.18788410886742754,-0.19222071460877435,-0.004336605741346811
below_reference_land_pct,lowland_prevalence,newlyn-p001-uk,Newlyn,Atlantic-Celtic,-0.30927205405199065,-0.3151089472423977,-0.005836893190407033,-0.18788410886742754,-0.18860244233378565,-0.0007183334663581065
below_reference_land_pct,lowland_prevalence,fishguard-p055-uk,Fishguard P055 Uk,British-North-Sea,-0.30927205405199065,-0.3333466358049326,-0.02407458175294197,-0.18788410886742754,-0.2039800995024876,-0.016095990635060065
below_reference_land_pct,lowland_prevalence,hoekvanholla-hvh-nl,Hoek van Holland,Dutch-German-Bight,-0.30927205405199065,-0.3162263548567324,-0.006954300804741742,-0.18788410886742754,-0.19222071460877435,-0.004336605741346811
below_reference_land_pct,lowland_prevalence,milfordhaven-p056-uk,Milfordhaven P056 Uk,Atlantic-Celtic,-0.30927205405199065,-0.30146061138159475,0.007811442670395907,-0.18788410886742754,-0.18317503392130263,0.004709074946124908
below_reference_land_pct,lowland_prevalence,tregde-006-norway,Tregde 006 Norway,Dutch-German-Bight,-0.30927205405199065,-0.30094181498922506,0.008330239062765588,-0.18788410886742754,-0.17865219357756673,0.00923191528986081
below_reference_land_pct,lowland_prevalence,lowestoft-p024-uk,Lowestoft P024 Uk,British-North-Sea,-0.30927205405199065,-0.2999441296192833,0.009327924432707357,-0.18788410886742754,-0.1795567616463139,0.00832734722111364
