station_id,full_label,region,gssr_rp10_m,gssr_rp10_bootstrap_p025_m,gssr_rp10_bootstrap_p975_m,coast_rp_rp10_m,nearest3_range_m,within5km_n,within5km_min_rp10_m,within5km_max_rp10_m,spring_tidal_range_m,tidal_regime,tidal_range_metric,source_status,D10_m,match_dist_km,gev_rp10_m,gev_rp10_bootstrap_p025_m,gev_rp10_bootstrap_p975_m,gev_fit_status,gssr_predint_rp10_lower_m,gssr_predint_rp10_upper_m,gssr_prediction_interval_status,D10_mc_p025_m,D10_mc_p975_m,D10_rank_p05,D10_rank_p50,D10_rank_p95,D10_top20_probability
sheerness-p015-uk,Sheerness,Europe,1.3629605897477484,1.2772481924576045,1.4702876816902175,5.25600004196167,0.1710000038146972,3,5.085000038146973,5.25600004196167,5.2,macrotidal,mean spring range = MHWS - MLWS,source_verified,3.893039452213921,0.4927874549512442,1.351463975251864,1.267439184058265,1.4747175721370491,ok,0.9988018835604549,1.7050195292117705,annual maxima of product 95% prediction bounds,3.713169546430682,3.9310011103753775,1.0,1.0,1.0,1.0
newlyn-p001-uk,Newlyn,Europe,0.6172450697458022,0.5626389319983076,0.6729010454458687,3.345999956130981,0.0169999599456787,2,3.345999956130981,3.3480000495910645,4.6,macrotidal,mean spring range = MHWS - MLWS,source_verified,2.7287548863851794,0.898627283055563,0.6136770549431246,0.5692073298253788,0.9091277754458782,ok,0.469183704113822,0.766099510683311,annual maxima of product 95% prediction bounds,2.6865447100928117,2.7719340640058534,3.0,3.0,3.0,0.0
aberdeen-p038-uk,Aberdeen,Europe,0.8384479950554402,0.7886133232637547,0.88216608166371,2.822000026702881,0.0060000419616699,3,2.815999984741211,2.822000026702881,3.5,meso-macrotidal,mean spring range = MHWS - MLWS,source_verified,1.9835520316474409,1.2635678555080092,0.8193620054402841,0.7567752344055205,0.8664811807412859,ok,0.6633507118608122,1.0135452782500682,annual maxima of product 95% prediction bounds,1.9471461884071288,2.0210262945967936,4.0,4.0,4.0,0.0
hoekvanholla-hvh-nl,Hoek van Holland,Europe,1.5054906522661844,1.4297770248858417,1.621889074795626,3.372999906539917,0.0820000171661377,2,3.359999895095825,3.372999906539917,1.7,mesotidal,spring range context,indicative_context,1.8675092542737328,0.4316300697656207,1.5468593194213822,1.4193329317524803,1.6736889373807178,ok,1.2042417172932889,1.8103434588426568,annual maxima of product 95% prediction bounds,1.7704728773983938,1.9191574139801608,5.0,5.0,5.0,0.0
brest-france,Brest,Europe,0.686821597457899,0.6453259216417127,0.8470015660773809,4.313000202178955,0.0880002975463867,3,4.232999801635742,4.321000099182129,6.1,macrotidal,spring range context,indicative_context,3.626178604721056,0.8326028065721115,0.7134989446369217,0.6543468125963097,0.7658630443293085,ok,0.5165143159397191,0.8571288789760787,annual maxima of product 95% prediction bounds,3.4621737593097697,3.640153110010794,2.0,2.0,2.0,1.0
newyork-the-battery,New York-The Battery,Comparison,1.2948860061716814,1.0667658779424616,1.4588438557654877,1.3109999895095823,0.7400001287460327,1,1.3109999895095823,1.3109999895095823,1.38,mesotidal,NOAA MN mean range of tide,source_verified,0.0161139833379011,0.8850563186007949,1.230917128881695,1.1049770501858442,1.353906640903484,ok,1.0643582342510922,1.5254137780922703,annual maxima of product 95% prediction bounds,-0.1087151549174984,0.1917828181438408,8.0,8.0,8.0,0.0
hong-kong-b,Hong Kong,Comparison,1.0263713464643704,0.7510621196323842,1.1427822497403324,1.8229999542236328,0.2220000028610229,1,1.8229999542236328,1.8229999542236328,1.9,mesotidal,spring range context,official_general_context,0.7966286077592624,4.761150213622031,0.9806561277417032,0.8040005868930925,1.1588175807406205,ok,0.8285781464997987,1.2249114869482791,annual maxima of product 95% prediction bounds,0.7120266479749482,1.019714465431714,6.0,6.0,6.0,0.0
charleston-sc,Charleston,Comparison,0.8434353138020511,0.7306845615134077,1.2585560031247844,1.3459999561309814,0.1149998903274536,2,1.3459999561309814,1.3559999465942385,1.591,mesotidal,NOAA MN mean range of tide,source_verified,0.5025646423289304,1.8295311363421696,0.8634261542595347,0.7318102206121461,1.068124604109063,ok,0.6296715848805546,1.0692358829792823,annual maxima of product 95% prediction bounds,0.1639028179929712,0.5827265419892902,7.0,7.0,7.0,0.0
