sample,terrain_metric,n_sites,top_n,top_overlap,top_mismatch,random_expected_mismatch,spearman,kendall,top_water_sites,top_terrain_sites
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,14,1,0.9285714285714286,0.7941176470588236,-0.31984578386838186,-0.20105355575065847,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;sheerness-p015-uk;calais;dunkerque;felixstowe-p204-uk;harwich-p022-uk;stmarys-p231-uk;portsmouth-p008-uk;immingham-p026-uk;lowestoft-p024-uk;esbjerg-130121-denmark
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,14,1,0.9285714285714286,0.7941176470588236,-0.30927205405199065,-0.18788410886742754,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;sheerness-p015-uk;calais;dunkerque;felixstowe-p204-uk;harwich-p022-uk;immingham-p026-uk;stmarys-p231-uk;portsmouth-p008-uk;lowestoft-p024-uk;saint-nazaire
primary resolved mask-aware match<=6km,mask_connected_2m_conditional_pct,68,14,6,0.5714285714285714,0.7941176470588236,-0.0014131848625863967,0.0026478747282864244,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk,port-tudy;hinkleypoint-p003-uk;workington-p217-uk;portpatrick-p063-uk;ilfracombe-p061-uk;tobermory-p223-uk;cromer-p183-uk;porterin-p919-uk;sthelier-p074-uk;bangor-p662-uk;delfzijl-del-nl;malin-head-834a-ireland;boulogne-sur-mer;heysham-p050-uk
primary resolved mask-aware match<=6km,mask_connected_2m_area_km2,68,14,1,0.9285714285714286,0.7941176470588236,-0.32942703362980497,-0.2028094820017559,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk,delfzijl-del-nl;cuxhaven-germany;hoekvanholla-hvh-nl;denhelder-hel-nl;sheerness-p015-uk;calais;dunkerque;harwich-p022-uk;felixstowe-p204-uk;portsmouth-p008-uk;immingham-p026-uk;lowestoft-p024-uk;esbjerg-130121-denmark;barmouth-p923-uk
all resolved mask-aware distance-unrestricted sensitivity,mask_connected_2m_reference_land_pct,74,15,1,0.9333333333333333,0.7972972972972973,-0.29946904327022367,-0.1905469629879916,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk;llandudno-p007-uk,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;sheerness-p015-uk;calais;dunkerque;felixstowe-p204-uk;harwich-p022-uk;stmarys-p231-uk;portsmouth-p008-uk;immingham-p026-uk;lowestoft-p024-uk;cordemais;paimboeuf
all resolved mask-aware distance-unrestricted sensitivity,mask_below_2m_reference_land_pct,74,15,1,0.9333333333333333,0.7972972972972973,-0.27895645054375184,-0.1631141317406932,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk;llandudno-p007-uk,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;sheerness-p015-uk;calais;dunkerque;felixstowe-p204-uk;cordemais;harwich-p022-uk;donges;montoir-de-bretagne;le-pellerin;immingham-p026-uk;stmarys-p231-uk
all resolved mask-aware distance-unrestricted sensitivity,mask_connected_2m_conditional_pct,74,15,6,0.6,0.7972972972972973,0.019040000069205663,0.02383180807418158,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk;llandudno-p007-uk,port-tudy;hinkleypoint-p003-uk;workington-p217-uk;portpatrick-p063-uk;ilfracombe-p061-uk;tobermory-p223-uk;cromer-p183-uk;porterin-p919-uk;sthelier-p074-uk;bangor-p662-uk;delfzijl-del-nl;malin-head-834a-ireland;boulogne-sur-mer;heysham-p050-uk;ullapool-p043-uk
all resolved mask-aware distance-unrestricted sensitivity,mask_connected_2m_area_km2,74,15,1,0.9333333333333333,0.7972972972972973,-0.30918475505980164,-0.18758125150179716,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk;llandudno-p007-uk,delfzijl-del-nl;cuxhaven-germany;hoekvanholla-hvh-nl;denhelder-hel-nl;sheerness-p015-uk;calais;dunkerque;harwich-p022-uk;felixstowe-p204-uk;portsmouth-p008-uk;cordemais;immingham-p026-uk;paimboeuf;lowestoft-p024-uk;esbjerg-130121-denmark
GSSR-qualified primary mask-aware,mask_connected_2m_reference_land_pct,44,9,2,0.7777777777777778,0.7954545454545454,-0.15193798449612403,-0.10359408033826638,avonmouth-p060-uk;hinkleypoint-p003-uk;heysham-p050-uk;dieppe;ilfracombe-p061-uk;boulogne-sur-mer;sheerness-p015-uk;roscoff;calais,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;sheerness-p015-uk;calais;dunkerque;felixstowe-p204-uk;immingham-p026-uk
GSSR-qualified primary mask-aware,mask_below_2m_reference_land_pct,44,9,2,0.7777777777777778,0.7954545454545454,-0.14982381959126145,-0.09302325581395349,avonmouth-p060-uk;hinkleypoint-p003-uk;heysham-p050-uk;dieppe;ilfracombe-p061-uk;boulogne-sur-mer;sheerness-p015-uk;roscoff;calais,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;sheerness-p015-uk;calais;dunkerque;felixstowe-p204-uk;immingham-p026-uk
