station_id,station,level_m,below_reference_land_pct,connected_reference_land_pct,conditional_connectivity_pct,connected_offset_minus_0p5m_pct,connected_offset_plus_0p5m_pct,connected_offset_range_min_pct,connected_offset_range_max_pct
delfzijl-del-nl,Delfzijl Del Nl,0.0,72.81044810431996,68.34626820220224,93.86876469195519,85.47968039599502,46.050907026340965,46.050907026340965,85.47968039599502
delfzijl-del-nl,Delfzijl Del Nl,0.25,80.56314432344392,79.26516761841725,98.38887035017454,88.80603632679589,48.72620806266392,48.72620806266392,88.80603632679589
delfzijl-del-nl,Delfzijl Del Nl,0.5,86.28069937642594,85.47968039599502,99.0716127868456,91.08110855656824,68.34626820220224,68.34626820220224,91.08110855656824
delfzijl-del-nl,Delfzijl Del Nl,0.75,89.47043715162867,88.80603632679589,99.25740742307228,92.87811947698651,79.26516761841725,79.26516761841725,92.87811947698651
delfzijl-del-nl,Delfzijl Del Nl,1.0,91.63495816358706,91.08110855656824,99.39559135714333,94.33985737154411,85.47968039599502,85.47968039599502,94.33985737154411
delfzijl-del-nl,Delfzijl Del Nl,1.25,93.33578790257367,92.87811947698651,99.50965386817658,95.71170748749311,88.80603632679589,88.80603632679589,95.71170748749311
delfzijl-del-nl,Delfzijl Del Nl,1.5,94.82539842892135,94.33985737154411,99.4879630716857,96.70414757981261,91.08110855656824,91.08110855656824,96.70414757981261
delfzijl-del-nl,Delfzijl Del Nl,1.75,96.08397025292423,95.71170748749311,99.61256517143163,97.2183067595438,92.87811947698651,92.87811947698651,97.2183067595438
delfzijl-del-nl,Delfzijl Del Nl,2.0,97.00269000989225,96.70414757981261,99.69223283390471,97.50052692686967,94.33985737154411,94.33985737154411,97.50052692686967
delfzijl-del-nl,Delfzijl Del Nl,2.25,97.5150536359107,97.2183067595438,99.69569121350753,97.7683281350737,95.71170748749311,95.71170748749311,97.7683281350737
delfzijl-del-nl,Delfzijl Del Nl,2.5,97.80354818854941,97.50052692686967,99.69017354963896,97.94087227713206,96.70414757981261,96.70414757981261,97.94087227713206
