terrain_metric,top_share,n_sites,top_n,observed_overlap,null_median,null_p025,null_p975,low_tail_p,null_method
connected_reference_land_pct,0.1,68,7,0,1.0,0.0,2.0,0.4500216858344388,exact hypergeometric station-label permutation equivalent
connected_reference_land_pct,0.15000000000000002,68,11,0,2.0,0.0,4.0,0.12035373981413941,exact hypergeometric station-label permutation equivalent
connected_reference_land_pct,0.20000000000000004,68,14,1,3.0,0.0,6.0,0.15222905782776333,exact hypergeometric station-label permutation equivalent
connected_reference_land_pct,0.25000000000000006,68,18,3,5.0,2.0,8.0,0.21869113846921337,exact hypergeometric station-label permutation equivalent
connected_reference_land_pct,0.30000000000000004,68,21,5,6.0,3.0,10.0,0.2917196672129868,exact hypergeometric station-label permutation equivalent
connected_reference_land_pct,0.3500000000000001,68,24,5,8.0,5.0,12.0,0.055396490274247326,exact hypergeometric station-label permutation equivalent
connected_reference_land_pct,0.40000000000000013,68,28,8,12.0,8.0,15.0,0.0638698424998377,exact hypergeometric station-label permutation equivalent
below_reference_land_pct,0.1,68,7,0,1.0,0.0,2.0,0.4500216858344388,exact hypergeometric station-label permutation equivalent
below_reference_land_pct,0.15000000000000002,68,11,0,2.0,0.0,4.0,0.12035373981413941,exact hypergeometric station-label permutation equivalent
below_reference_land_pct,0.20000000000000004,68,14,1,3.0,0.0,6.0,0.15222905782776333,exact hypergeometric station-label permutation equivalent
below_reference_land_pct,0.25000000000000006,68,18,3,5.0,2.0,8.0,0.21869113846921337,exact hypergeometric station-label permutation equivalent
below_reference_land_pct,0.30000000000000004,68,21,4,6.0,3.0,10.0,0.12874398134933807,exact hypergeometric station-label permutation equivalent
below_reference_land_pct,0.3500000000000001,68,24,6,8.0,5.0,12.0,0.14755141873512598,exact hypergeometric station-label permutation equivalent
below_reference_land_pct,0.40000000000000013,68,28,9,12.0,8.0,15.0,0.1548229808572359,exact hypergeometric station-label permutation equivalent
conditional_connectivity_pct,0.1,68,7,2,1.0,0.0,2.0,0.9798199432486193,exact hypergeometric station-label permutation equivalent
conditional_connectivity_pct,0.15000000000000002,68,11,4,2.0,0.0,4.0,0.9877141734450159,exact hypergeometric station-label permutation equivalent
conditional_connectivity_pct,0.20000000000000004,68,14,5,3.0,0.0,6.0,0.969030176141979,exact hypergeometric station-label permutation equivalent
conditional_connectivity_pct,0.25000000000000006,68,18,6,5.0,2.0,8.0,0.8596888843436168,exact hypergeometric station-label permutation equivalent
conditional_connectivity_pct,0.30000000000000004,68,21,6,6.0,3.0,10.0,0.5090205816978519,exact hypergeometric station-label permutation equivalent
conditional_connectivity_pct,0.3500000000000001,68,24,9,8.0,5.0,12.0,0.7092711602218158,exact hypergeometric station-label permutation equivalent
conditional_connectivity_pct,0.40000000000000013,68,28,11,12.0,8.0,15.0,0.49519786156925505,exact hypergeometric station-label permutation equivalent
connected_area_km2,0.1,68,7,0,1.0,0.0,2.0,0.4500216858344388,exact hypergeometric station-label permutation equivalent
connected_area_km2,0.15000000000000002,68,11,0,2.0,0.0,4.0,0.12035373981413941,exact hypergeometric station-label permutation equivalent
connected_area_km2,0.20000000000000004,68,14,1,3.0,0.0,6.0,0.15222905782776333,exact hypergeometric station-label permutation equivalent
connected_area_km2,0.25000000000000006,68,18,3,5.0,2.0,8.0,0.21869113846921337,exact hypergeometric station-label permutation equivalent
connected_area_km2,0.30000000000000004,68,21,5,6.0,3.0,10.0,0.2917196672129868,exact hypergeometric station-label permutation equivalent
connected_area_km2,0.3500000000000001,68,24,5,8.0,5.0,12.0,0.055396490274247326,exact hypergeometric station-label permutation equivalent
connected_area_km2,0.40000000000000013,68,28,8,12.0,8.0,15.0,0.0638698424998377,exact hypergeometric station-label permutation equivalent
