station_id,Station,full_label,DEM source,tiles,valid_fraction,Median coastal-lowland elevation (m),"Ocean-connected +0.5 m, 8n (%)","Ocean-connected +1.0 m, 8n (%)","Ocean-connected +2.0 m, 8n (%)","Ocean-connected +2.0 m, 4n (%)",DEM +/-0.5 m min connected +2.0 m (%),DEM +/-0.5 m max connected +2.0 m (%),DEM +/-1.0 m min connected +2.0 m (%),DEM +/-1.0 m max connected +2.0 m (%),All below +2.0 m (%),Unconnected below +2.0 m (%)
sheerness-p015-uk,Sheerness,Sheerness,DeltaDTM:DeltaDTM_v1_1_N51E000.tif,DeltaDTM_v1_1_N51E000.tif,0.4418402777777778,2.346140503883362,0.48647264658188955,5.23598190663139,39.25492873602458,38.41426986429973,21.29384654775113,49.987198088247844,5.23598190663139,59.46914739267731,42.77972177178459,3.524793035760007
hoekvanholla-hvh-nl,Hoek v.H.,Hoek van Holland,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,0.4943576388888889,3.8531720638275146,0.5756237957023342,1.5854045220615136,3.0976365277201885,3.0903192760799043,2.4195712090538795,3.878143369350472,1.5854045220615136,4.875728676309178,34.71548086538696,31.61784433766677
newlyn-p001-uk,Newlyn,Newlyn,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,0.6196650752314815,6.671358823776245,2.5167785234899327,4.194630872483222,8.221476510067115,8.221476510067115,6.291946308724833,10.318791946308725,4.194630872483222,11.703020134228188,8.263422818791947,0.04194630872483222
brest-france,Brest,Brest,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,0.5950279706790124,6.180788516998291,1.8340797611431008,3.1349968010236724,5.3316272126252935,4.73448496481126,4.00938366389422,7.251013009170399,3.1349968010236724,9.29835785881851,7.63489016847942,2.3032629558541267
aberdeen-p038-uk,Aberdeen,Aberdeen,DeltaDTM:DeltaDTM_v1_1_N57W003.tif,DeltaDTM_v1_1_N57W003.tif,0.5767324942129629,7.6487250328063965,2.34192037470726,3.669008587041374,6.0889929742388755,6.040202966432474,4.908274785323965,7.572209211553474,3.669008587041374,9.026151444184231,7.240437158469946,1.1514441842310694
