station_id,station,lat,lon,coast_rp_rp10_m,match_dist_km,window_width_km,terrain_source,terrain_tiles,mask_outside_support_cells,official_clipped_255_cells,coastal_sector,eta_m,neighbours,seed_rule,seed_resolved,seed_status,elevation_offset_m,window_area_km2,reference_land_area_km2,below_area_km2,connected_area_km2,unconnected_below_area_km2,below_reference_land_pct,conditional_connectivity_pct,connected_reference_land_pct,reference_land_window_pct,below_window_pct,connected_window_pct,below_cells,connected_cells,mask_ocean_area_km2,mask_river_area_km2,mask_lake_area_km2,mask_clipped_255_area_km2,mask_outside_support_area_km2,mask_land_area_km2,represented_land_window_pct
esbjerg-130121-denmark,Esbjerg 130121 Denmark,55.467,8.4333,3.3989999294281006,1.0961426145407729,10.0,DeltaDTM:DeltaDTM_v1_1_N55E008.tif,DeltaDTM_v1_1_N55E008.tif,0,0,Denmark-Norway,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.4961416723689,60.13010731729512,5.54719370092253,4.925742995340043,0.6214507055824869,9.225318144953652,88.7970253232885,8.191808089328422,59.83324963193856,5.5198076350106415,4.901424983457211,6835.0,6069.0,40.2427178897448,0.0,0.1233164653289751,0.0,0.0,60.13010731729512,59.833249631938564
denhelder-hel-nl,Denhelder Hel Nl,52.965,4.7464,2.635999917984009,0.6271861455373051,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N53E004.tif,0,0,Dutch-German-Bight,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.59431529242602,29.073792795122053,21.20938228133257,20.85450565370344,0.3548766276291282,72.95017348025895,98.3267941379817,71.72956690123473,28.902023648756906,21.084076391073634,20.731296388945772,36894.0,36276.0,69.99077852988663,0.6559511571973229,0.8737928102200276,0.0,0.0,29.073792795122053,28.902023648756906
lerwick-p041-uk,Lerwick P041 Uk,60.15,-1.1333,1.5080000162124634,0.0940864059903398,10.0,DeltaDTM:DeltaDTM_v1_1_N60W002.tif,DeltaDTM_v1_1_N60W002.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.62130509110366,56.92591873147791,1.4193140861703404,1.3310213944908726,0.0882926916794677,2.4932651379160133,93.77919992905144,2.338164098447598,56.57441898605523,1.4105502655578532,1.3228027536372648,1495.0,1402.0,42.28876511276616,0.0,1.4066212468595929,0.0,0.0,56.92591873147791,56.57441898605523
cuxhaven-germany,Cuxhaven Germany,53.867,8.7167,4.696000099182129,0.5308434347028981,10.0,DeltaDTM:DeltaDTM_v1_1_N53E008.tif,DeltaDTM_v1_1_N53E008.tif,0,0,Denmark-Norway,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.68343992408036,47.97352645201355,29.423253383208035,28.54984347963728,0.8734099035707565,61.33227127390607,97.03156584285402,59.51166318405801,47.64788180478106,29.223528124778447,28.356046933999362,34849.0,33814.0,52.66262175195284,0.0,0.0472917201139586,0.0,0.0,47.97352645201355,47.64788180478105
delfzijl-del-nl,Delfzijl Del Nl,53.326,6.9331,4.093999862670898,0.2941116420316665,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N53E006.tif;DeltaDTM_v1_1_N53E007.tif,326,0,Dutch-German-Bight,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.49533581312916,63.39243255817696,61.492364844138415,61.30311153549263,0.1892533086457817,97.00269000989223,99.69223283390473,96.7041475798126,63.07997485182303,61.18927246383187,61.000951974015614,107886.0,107554.0,35.43521829424075,1.370816540681151,0.1111099434810577,0.0,0.1857584765492221,63.39243255817696,63.07997485182302
portpatrick-p063-uk,Portpatrick P063 Uk,54.843,-5.12,2.88700008392334,0.7785273697399445,10.0,DeltaDTM:DeltaDTM_v1_1_N54W006.tif,DeltaDTM_v1_1_N54W006.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.46929786845766,45.42104078330847,0.2487914608965638,0.2479676470429266,0.0008238138536371,0.5477449582969285,99.6688737424233,0.5459312309154548,45.20887648958917,0.24762934167441006,0.24680937590266175,302.0,301.0,55.00542859674357,0.0,0.0428284884056208,0.0,0.0,45.42104078330847,45.20887648958917
newlyn-p001-uk,Newlyn,50.102,-5.5417,3.345999956130981,0.898627283055563,10.0,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.54440488425747,61.93394318807579,0.2808802046483569,0.2762932822932256,0.0045869223551313,0.4535157785697635,98.3669470901754,0.4461096259513163,61.5985974151138,0.2793593586552076,0.2747972725198214,306.0,301.0,38.32594474089999,0.0,0.2845169552817083,0.0,0.0,61.93394318807579,61.598597415113815
fishguard-p055-uk,Fishguard P055 Uk,52.014,-4.9833,2.997999906539917,0.6424302156659428,10.0,DeltaDTM:mosaic(3),DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif;DeltaDTM_v1_1_N52W005.tif,850,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.496212832297,40.6286118200529,0.0922018536930857,0.0722313329757442,0.0199705207173415,0.2269382328430381,78.34043469037205,0.1777843980878847,40.42800288191145,0.09174659531394232,0.07187468158255893,157.0,123.0,48.82271809423619,0.0,0.0,0.0,0.4994151170313106,51.17407962102951,40.42800288191145
hoekvanholla-hvh-nl,Hoek van Holland,51.977,4.12,3.372999906539917,0.4316300697656207,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51E004.tif;DeltaDTM_v1_1_N52E004.tif,0,0,Dutch-German-Bight,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.57929871308195,53.45304071050628,25.7298794131886,1.4109790180695978,24.318900395119005,48.135483166500855,5.483815121754358,2.639660904814097,53.14517141642572,25.58168504096163,1.4028523126758263,43793.0,2400.0,24.830158419374023,22.021010060629177,0.2750895225724953,0.0,0.0,53.45304071050628,53.145171416425725
milfordhaven-p056-uk,Milfordhaven P056 Uk,51.702,-5.0143,4.375999927520752,0.1860794166112794,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif,326,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.61725213407684,77.70270760413167,0.4453882038989514,0.3667188963427887,0.0786693075561626,0.573195217556703,82.33691263767486,0.4719512455229929,77.22602829640931,0.44265590090400436,0.3644692024128426,753.0,620.0,9.263506787449764,13.345964884066326,0.1123195018503775,0.0,0.1927533565786912,77.70270760413167,77.22602829640931
