pressure,surge,q25,q75,n,station_id
1002.1,0.1174856517069444,0.0443089200636508,0.19433591474764475,447,charleston-sc
1006.0,0.0852484248053425,0.034388590764003704,0.1525467058296267,431,charleston-sc
1007.8,0.0919026377812148,0.0386163057919754,0.1502281435736353,451,charleston-sc
1009.0,0.0872226059171586,0.0367717831634941,0.1440207689217265,445,charleston-sc
1010.0,0.0968857076878832,0.04746202696376955,0.1420514821704223,435,charleston-sc
1010.9,0.08801248522000235,0.0463820443161487,0.14460613767669533,438,charleston-sc
1011.6,0.09076037390102859,0.04797709964396115,0.1414156512004909,470,charleston-sc
1012.2,0.0887987955565563,0.04608831302575405,0.13888787120566592,387,charleston-sc
1012.7,0.0885686928337963,0.0472850584111056,0.1458910508663387,479,charleston-sc
1013.3,0.0796407288957629,0.0437604489293409,0.13002033861293852,416,charleston-sc
1013.8,0.08282156785965,0.047533293891623404,0.13645235547578122,475,charleston-sc
1014.3,0.08342201214245559,0.04418664223885557,0.14546393400701088,362,charleston-sc
1014.8,0.08301418743075645,0.041609382292609,0.13939764366066423,466,charleston-sc
1015.3,0.0919308800462062,0.0508987106206275,0.1405936856603183,437,charleston-sc
1015.8,0.0802429654102357,0.039045692517136,0.1437844733852828,421,charleston-sc
1016.3,0.0860941364957731,0.0437796571988635,0.1551138203501913,433,charleston-sc
1016.8,0.08677725757615715,0.04092039829656925,0.14715656660117643,450,charleston-sc
1017.4,0.0906171671904148,0.039880393690827576,0.15284001354820378,420,charleston-sc
1018.0,0.08946861993721306,0.04095721424775117,0.1545938411596151,424,charleston-sc
1018.6,0.09529479174115929,0.040175806084392474,0.16481601012713626,452,charleston-sc
1019.3,0.0788623058778447,0.0294822501243612,0.1575064651407843,425,charleston-sc
1020.1,0.09111945953461906,0.03923788606345828,0.16524877508129135,428,charleston-sc
1021.0,0.1037177951272888,0.04437761354143985,0.17486742921206724,459,charleston-sc
1022.2,0.10163338092795,0.0505543772286911,0.17793652600944,405,charleston-sc
1023.9,0.1162470740966276,0.0440043082101323,0.19672706115627886,431,charleston-sc
1026.8,0.1264513988379667,0.053039976581026396,0.20320195016878942,436,charleston-sc
