top_share_pct,n_sites,top_n,observed_overlap,sector_stratified_null_median,sector_stratified_null_q025,sector_stratified_null_q975,sector_stratified_lower_tail_p,nonspatial_hypergeometric_mean,nonspatial_hypergeometric_q025,nonspatial_hypergeometric_q975,note
10,68,7,0,0.0,0.0,0.0,1.0,0.7205882352941176,0.0,2.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
11,68,8,0,1.0,0.0,1.0,0.49105089491050896,0.9411764705882353,0.0,3.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
12,68,9,0,1.0,0.0,1.0,0.49105089491050896,1.1911764705882353,0.0,3.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
13,68,9,0,1.0,0.0,1.0,0.49105089491050896,1.1911764705882353,0.0,3.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
14,68,10,0,1.0,0.0,2.0,0.30416958304169583,1.4705882352941178,0.0,4.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
15,68,11,0,1.0,0.0,3.0,0.13958604139586042,1.7794117647058822,0.0,4.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
16,68,11,0,1.0,0.0,3.0,0.13958604139586042,1.7794117647058822,0.0,4.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
17,68,12,0,1.0,0.0,3.0,0.12408759124087591,2.1176470588235294,0.0,5.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
18,68,13,0,2.0,0.0,3.0,0.1166883311668833,2.485294117647059,0.0,5.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
19,68,13,0,2.0,0.0,3.0,0.1166883311668833,2.485294117647059,0.0,5.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
20,68,14,1,2.0,0.0,4.0,0.2568743125687431,2.8823529411764706,0.0,6.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
21,68,15,1,3.0,1.0,5.0,0.15058494150584942,3.3088235294117645,1.0,6.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
22,68,15,1,3.0,1.0,5.0,0.15058494150584942,3.3088235294117645,1.0,6.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
23,68,16,1,3.0,1.0,5.0,0.1060893910608939,3.764705882352941,1.0,7.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
24,68,17,2,4.0,2.0,6.0,0.1327867213278672,4.25,1.0,7.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
25,68,17,2,4.0,2.0,6.0,0.1327867213278672,4.25,1.0,7.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
26,68,18,3,5.0,3.0,8.0,0.064993500649935,4.764705882352941,2.0,8.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
27,68,19,4,6.0,4.0,9.0,0.058894110588941104,5.3088235294117645,2.0,9.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
28,68,20,4,7.0,5.0,10.0,0.012898710128987101,5.882352941176471,3.0,9.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
29,68,20,4,7.0,5.0,10.0,0.012898710128987101,5.882352941176471,3.0,9.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
30,68,21,5,8.0,6.0,11.0,0.016698330166983303,6.485294117647059,3.0,10.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
31,68,22,5,8.0,6.0,11.0,0.0096990300969903,7.117647058823529,4.0,11.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
32,68,22,5,8.0,6.0,11.0,0.0096990300969903,7.117647058823529,4.0,11.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
33,68,23,5,9.0,6.0,11.0,0.008099190080991902,7.779411764705882,4.0,11.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
34,68,24,5,9.0,7.0,12.0,0.0028997100289971,8.470588235294118,5.0,12.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
35,68,24,5,9.0,7.0,12.0,0.0028997100289971,8.470588235294118,5.0,12.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
36,68,25,6,10.0,7.0,13.0,0.0033996600339966003,9.191176470588236,5.0,13.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
37,68,26,7,11.0,9.0,14.0,0.0021997800219978004,9.941176470588236,6.0,14.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
38,68,26,7,11.0,9.0,14.0,0.0021997800219978004,9.941176470588236,6.0,14.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
39,68,27,7,12.0,9.0,15.0,0.0007999200079992001,10.720588235294118,7.0,15.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
40,68,28,8,13.0,10.0,16.0,0.0007999200079992001,11.529411764705882,8.0,15.0,The hypergeometric values are descriptive nonspatial comparators; inference uses within-sector permutations.
