station_id,station,tg,lat,lon,num_year,corrn,match_dist_km,coast_rp_rp10_m,selected_base_30,buffer_deg,lowland_max_m,seed_mode,terrain_source,terrain_tiles,coastal_lowland_cells,connected_2m_lowland_pct,bathtub_2m_lowland_pct,candidate_pool_status
tregde-006-norway,Tregde 006 Norway,tregde-006-norway-statkart.csv,58.0,7.5666,37,0.7698606638312042,0.0353554993422451,0.9990000128746033,True,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N58E007.tif;DeltaDTM_v1_1_N57E007.tif,15384,13.234529381175246,13.813052522100884,ok
lowestoft-p024-uk,Lowestoft P024 Uk,lowestoft-p024-uk-bodc.csv,52.473,1.7508,37,0.7316476153949388,0.558679556824671,2.378999948501587,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N52E001.tif,DeltaDTM_v1_1_N52E001.tif,14771,4.623925258953355,5.761289012253741,ok
wick-p035-uk,Wick P035 Uk,wick-p035-uk-bodc.csv,58.441,-3.0863,36,0.8354551299984059,2.044426816988848,2.559999942779541,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N58W004.tif,DeltaDTM_v1_1_N58W004.tif,7232,15.804756637168142,15.804756637168142,ok
stornoway-p042-uk,Stornoway P042 Uk,stornoway-p042-uk-bodc.csv,58.208,-6.3882,36,0.8306759707875331,1.96547346956443,2.9800000190734863,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N58W007.tif,DeltaDTM_v1_1_N58W007.tif,10879,12.298924533504918,12.464380917363728,ok
le-conquet,Le Conquet France,le_conquet-france-refmar.csv,48.358999999999995,-4.7807,36,0.8081322021549198,0.3743241107784543,4.0269999504089355,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,2455,6.0285132382892055,6.272912423625255,ok
brest,Brest,brest-france-refmar.csv,48.383,-4.5,36,0.7945705928488479,0.8326028065721115,4.313000202178955,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,4689,5.3316272126252935,7.63489016847942,ok
port-tudy,Port Tudy France,port-tudy-france-refmar.csv,47.644,-3.4459,36,0.7897587784996325,0.3071588803705932,3.0,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N47W004.tif,DeltaDTM_v1_1_N47W004.tif,2111,12.979630506868782,12.979630506868782,ok
cherbourg,Cherbourg France,cherbourg-france-refmar.csv,49.651,-1.6355,36,0.7851281122153891,0.1799794683868606,3.6740000247955322,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N49W002.tif,DeltaDTM_v1_1_N49W002.tif,12520,5.519169329073482,6.006389776357827,ok
saint-nazaire,Saint Nazaire France,saint-nazaire-france-refmar.csv,47.266999999999996,-2.2016,36,0.7764365796164387,0.5134189518354477,3.2750000953674316,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N47W003.tif,DeltaDTM_v1_1_N47W003.tif,36943,1.025904772216658,12.229651084102537,ok
saint-gildas,Saint Gildas France,saint-gildas-france-refmar.csv,47.14,-2.2464,36,0.772756505103827,0.6955371206450615,3.243000030517578,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N47W003.tif,DeltaDTM_v1_1_N47W003.tif,6142,14.685770107456854,14.799739498534679,ok
le-havre,Le Havre France,le_havre-france-refmar.csv,49.482,0.106,36,0.7548941401492459,1.1125158833977298,4.64300012588501,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N49E000.tif,DeltaDTM_v1_1_N49E000.tif,17066,10.348060471112152,10.992616899097621,ok
dunkerque,Dunkerque France,dunkerque-france-refmar.csv,51.048,2.3667,36,0.7337241350119956,1.0018618201129972,4.547999858856201,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N51E002.tif,DeltaDTM_v1_1_N51E002.tif,27715,23.904023092188346,26.227674544470503,ok
roscoff,Roscoff France,roscoff-france-refmar.csv,48.718,-3.9657,36,0.7302442849046487,0.6185832324786201,4.85699987411499,True,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N48W004.tif;DeltaDTM_v1_1_N48W005.tif,6634,2.818812179680434,3.044920108531806,ok
boulogne-sur-mer,Boulogne Sur Mer,boulogne-sur-mer-france-refmar.csv,50.727,1.5777,36,0.7243652719585156,0.8011007337990727,5.7129998207092285,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50E001.tif,DeltaDTM_v1_1_N50E001.tif,7352,6.134385201305767,6.147986942328618,ok
dieppe,Dieppe France,dieppe-france-refmar.csv,49.928999999999995,1.0845,36,0.7054409589991582,0.5368500847947633,6.14300012588501,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N49E001.tif,DeltaDTM_v1_1_N49E001.tif,12081,1.2333416107938084,1.4568330436222168,ok
immingham-p026-uk,Immingham P026 Uk,immingham-p026-uk-bodc.csv,53.631,-0.18603,36,0.6971313377451682,0.4874162774435815,4.5279998779296875,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N53W001.tif,DeltaDTM_v1_1_N53W001.tif,28586,0.167914363674526,29.189113552088436,ok
aberdeen-p038-uk,Aberdeen,aberdeen-p038-uk-bodc.csv,57.143,-2.0745,35,0.8234086565710446,1.2635678555080092,2.822000026702881,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N57W003.tif,DeltaDTM_v1_1_N57W003.tif,10248,6.0889929742388755,7.240437158469946,ok
millport-p049-uk,Millport P049 Uk,millport-p049-uk-bodc.csv,55.75,-4.9058,35,0.8077434436729396,0.6640781018002286,2.7170000076293945,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N55W005.tif,DeltaDTM_v1_1_N55W005.tif,8474,7.646919990559358,8.118952088742034,ok
holyhead-p054-uk,Holyhead P054 Uk,holyhead-p054-uk-bodc.csv,53.308,-4.6312,35,0.8055445593855491,0.6409171148649937,3.315000057220459,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N53W005.tif,DeltaDTM_v1_1_N53W005.tif,11817,7.006854531607007,7.53998476770754,ok
sheerness-p015-uk,Sheerness,sheerness-p015-uk-bodc.csv,51.442,0.74306,27,0.6684479366660454,0.4927874549512442,5.25600004196167,True,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N51E000.tif,DeltaDTM_v1_1_N51E000.tif,23434,39.25492873602458,42.77972177178459,ok
heysham-p050-uk,Heysham P050 Uk,heysham-p050-uk-bodc.csv,54.032,-2.9204,35,0.7831946677781411,0.15272967644424593,6.624000072479248,False,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N54W003.tif;DeltaDTM_v1_1_N53W003.tif,17551,2.2733747364822516,2.2733747364822516,ok
northshields-p032-uk,Northshields P032 Uk,northshields-p032-uk-bodc.csv,55.007,-1.4398,35,0.7648673943441429,0.9356076661653266,3.302000045776367,False,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N54W002.tif;DeltaDTM_v1_1_N55W002.tif,13670,0.9802487198244331,1.1558156547183613,ok
whitby-p174-uk,Whitby P174 Uk,whitby-p174-uk-bodc.csv,54.49,-0.61417,35,0.7230387005191082,0.6840003931342477,3.430999994277954,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N54W001.tif,DeltaDTM_v1_1_N54W001.tif,1840,5.6521739130434785,10.706521739130435,ok
dover-p012-uk,Dover P012 Uk,dover-p012-uk-bodc.csv,51.117,1.3181,34,0.7433050574164776,0.50788422881673,4.618000030517578,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N51E001.tif,DeltaDTM_v1_1_N51E001.tif,2208,4.936594202898551,5.298913043478261,ok
ullapool-p043-uk,Ullapool P043 Uk,ullapool-p043-uk-bodc.csv,57.895,-5.1579,33,0.8176345161406837,0.49105561564954814,3.25600004196167,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N57W006.tif,DeltaDTM_v1_1_N57W006.tif,2068,7.2533849129593815,7.350096711798839,ok
newhaven-p011-uk,Newhaven P011 Uk,newhaven-p011-uk-bodc.csv,50.782,0.05703,33,0.7538206075873588,0.5395065039179817,4.261000156402588,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50E000.tif,DeltaDTM_v1_1_N50E000.tif,9972,20.00601684717208,30.4853590052146,ok
calais,Calais France,calais-france-refmar.csv,50.968999999999994,1.8677,33,0.7228796635841743,1.6681851084393278,4.699999809265137,False,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51E001.tif;DeltaDTM_v1_1_N50E001.tif,42521,28.955104536581924,34.25836645422262,ok
ilfracombe-p061-uk,Ilfracombe P061 Uk,ilfracombe-p061-uk-bodc.csv,51.21100000000001,-4.1109,32,0.7740608676853155,0.7893686301624632,5.764999866485596,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N51W005.tif,DeltaDTM_v1_1_N51W005.tif,421,17.577197149643705,17.577197149643705,ok
felixstowe-p204-uk,Felixstowe P204 Uk,felixstowe-p204-uk-bodc.csv,51.957,1.3484,30,0.7282495856180851,0.8060091662253237,3.75,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N51E001.tif,DeltaDTM_v1_1_N51E001.tif,14579,48.29549351807394,49.23520131696275,ok
cordemais,Cordemais France,cordemais-france-refmar.csv,47.277,-1.8898,29,0.6594648861419706,22.647351215355688,3.2760000228881836,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N47W002.tif,DeltaDTM_v1_1_N47W002.tif,69190,14.215927157103629,32.4382136146842,ok
le-pellerin,Le Pellerin France,le_pellerin-france-refmar.csv,47.205,-1.7651,29,0.4690437785219072,28.38796447313961,3.440000057220459,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N47W002.tif,DeltaDTM_v1_1_N47W002.tif,54161,3.0907848821107438,34.519303557910675,ok
leith-p034-uk,Leith P034 Uk,leith-p034-uk-bodc.csv,55.99,-3.1817,27,0.7745194961778761,0.5189396857548381,3.5889999866485596,False,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N56W004.tif;DeltaDTM_v1_1_N55W004.tif,9948,0.854443104141536,1.0655408122235626,ok
tobermory-p223-uk,Tobermory P223 Uk,tobermory-p223-uk-bodc.csv,56.62300000000001,-6.0642,26,0.8136527888227519,0.4542674993488369,3.0910000801086426,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N56W007.tif,DeltaDTM_v1_1_N56W007.tif,1362,8.14977973568282,8.14977973568282,ok
donges,Donges France,donges-france-refmar.csv,47.306000000000004,-2.0883,26,0.789490409522372,8.277975956437524,3.2760000228881836,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N47W003.tif,DeltaDTM_v1_1_N47W003.tif,54852,1.2415226427477577,17.425071100415664,ok
cromer-p183-uk,Cromer P183 Uk,cromer-p183-uk-bodc.csv,52.934,1.3016,26,0.7026372900401091,0.4363097932395557,3.740000009536743,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N52E001.tif,DeltaDTM_v1_1_N52E001.tif,386,26.16580310880829,26.16580310880829,ok
avonmouth-p060-uk,Avonmouth P060 Uk,avonmouth-p060-uk-bodc.csv,51.511,-2.715,26,0.5711256515912323,0.13840816014044804,8.786999702453613,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N51W003.tif,DeltaDTM_v1_1_N51W003.tif,21344,0.5575337331334332,0.5762743628185907,ok
hinkleypoint-p003-uk,Hinkleypoint P003 Uk,hinkleypoint-p003-uk-bodc.csv,51.215,-3.1343,25,0.6973044967150722,0.6080124463089123,7.734000205993652,False,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N51W004.tif,DeltaDTM_v1_1_N51W004.tif,7754,0.4642765024503482,0.4642765024503482,ok
