return_period_years,terrain_metric,terrain_metric_label,n_sites,spearman,kendall,sector_adjusted_rank_association,sector_stratified_permutation_two_sided_p,sector_stratified_null_spearman_q025,sector_stratified_null_spearman_median,sector_stratified_null_spearman_q975,top20_n,top20_observed_overlap,top20_observed_mismatch_pct,sector_stratified_top20_null_median,sector_stratified_top20_null_q025,sector_stratified_top20_null_q975,sector_stratified_top20_lower_tail_p,n_permutations
2,below_reference_land_pct,lowland_prevalence,68,-0.33526739703019426,-0.20456540825285335,-0.4458652446850543,0.00019998000199980003,-0.1874651677673016,-0.008550597396648471,0.17433866473260287,14,0,100.0,2.0,0.0,4.0,0.049595040495950406,10000
2,conditional_connectivity_pct,conditional_connectivity,68,0.10380782907004393,0.06571184014268182,0.19644597737980943,0.40995900409959,-0.27624989626750607,-0.05772830523891517,0.15480371154614736,14,5,64.28571428571428,3.0,1.0,5.0,0.9839016098390161,10000
2,connected_reference_land_pct,connected_lowland_share,68,-0.3585525060121387,-0.2256365232660228,-0.4829155443266343,9.999000099990002e-05,-0.18548020765736534,-0.00687101576516395,0.16998320418368512,14,0,100.0,2.0,0.0,4.0,0.08649135086491351,10000
2,connected_area_km2,connected_area,68,-0.36855365118143296,-0.22827041264266895,-0.48140248715839246,9.999000099990002e-05,-0.19826793144253158,-0.026014429133106844,0.14864297438638013,14,0,100.0,2.0,0.0,4.0,0.08589141085891411,10000
2,connected_window_pct,connected_window_share,68,-0.36855365118143296,-0.22827041264266895,-0.48140248715839246,9.999000099990002e-05,-0.19934248196358362,-0.027255029201817,0.14605966332022732,14,0,100.0,2.0,0.0,4.0,0.0810918908109189,10000
5,below_reference_land_pct,lowland_prevalence,68,-0.31824254685651027,-0.1931518876207199,-0.450672810394493,0.00039996000399960006,-0.1665095239912967,0.012043363743940147,0.18884223384356982,14,1,92.85714285714286,3.0,1.0,5.0,0.17578242175782421,10000
5,conditional_connectivity_pct,conditional_connectivity,68,0.10491541812193182,0.06747591638812293,0.19656615490213153,0.407959204079592,-0.27602073991194304,-0.057957461594478184,0.15884641158553825,14,5,64.28571428571428,3.0,0.0,5.0,0.9875012498750125,10000
5,connected_reference_land_pct,connected_lowland_share,68,-0.34103141581097074,-0.2159789288849868,-0.48785577986604045,0.00039996000399960006,-0.16235351376111767,0.015039890063747757,0.19880329808756725,14,1,92.85714285714286,2.0,0.0,4.0,0.26277372262773724,10000
5,connected_area_km2,connected_area,68,-0.34881856701148983,-0.2151009657594381,-0.4847520552907837,0.00019998000199980003,-0.18067145092949574,-0.006317517272970187,0.1663177081345192,14,1,92.85714285714286,2.0,0.0,4.0,0.25547445255474455,10000
5,connected_window_pct,connected_window_share,68,-0.34881856701148983,-0.2151009657594381,-0.4847520552907837,9.999000099990002e-05,-0.1782656411039432,-0.004256212543421002,0.17105680039699192,14,1,92.85714285714286,2.0,0.0,4.0,0.2586741325867413,10000
