return_period_years,terrain_metric,terrain_metric_label,n_sites,spearman,kendall,sector_adjusted_rank_association,sector_stratified_permutation_two_sided_p,sector_stratified_null_spearman_q025,sector_stratified_null_spearman_median,sector_stratified_null_spearman_q975,top20_n,top20_observed_overlap,top20_observed_mismatch_pct,sector_stratified_top20_null_median,sector_stratified_top20_null_q025,sector_stratified_top20_null_q975,sector_stratified_top20_lower_tail_p,n_permutations
10,below_reference_land_pct,lowland_prevalence,68,-0.30927205405199065,-0.18788410886742754,-0.45364043679397,0.0008999100089991,-0.15990571439477802,0.020441271901362752,0.20374279497652378,14,1,92.85714285714286,3.0,1.0,5.0,0.17268273172682733,10000
10,conditional_connectivity_pct,conditional_connectivity,68,0.10453349086266013,0.06923999263356406,0.19832516926978577,0.42045795420457954,-0.2765201098034408,-0.061681252372377114,0.15830980378626155,14,5,64.28571428571428,3.0,0.0,5.0,0.9866013398660134,10000
10,connected_reference_land_pct,connected_lowland_share,68,-0.33316791999083856,-0.21071115013169445,-0.4918827838462064,0.00039996000399960006,-0.15257567660419133,0.024468450585944955,0.20407203114860478,14,1,92.85714285714286,2.0,0.0,4.0,0.2568743125687431,10000
10,connected_area_km2,connected_area,68,-0.34095507119135776,-0.2080772607550483,-0.4888621263000112,0.00019998000199980003,-0.16700862694201626,0.010001145169294194,0.17971905179982434,14,1,92.85714285714286,2.0,0.0,4.0,0.2545745425457454,10000
10,connected_window_pct,connected_window_share,68,-0.34095507119135776,-0.2080772607550483,-0.4888621263000112,0.00019998000199980003,-0.1673483604992938,0.00603122494942169,0.18139672481581856,14,1,92.85714285714286,2.0,0.0,4.0,0.25837416258374163,10000
25,below_reference_land_pct,lowland_prevalence,68,-0.3039661029888918,-0.18349429323968391,-0.4538147764652129,0.0018998100189981002,-0.15246688552124288,0.02815207848226896,0.21277436347673395,14,1,92.85714285714286,3.0,1.0,5.0,0.1625837416258374,10000
25,conditional_connectivity_pct,conditional_connectivity,68,0.10552650173676652,0.07365018324716686,0.1980762067931905,0.404959504049595,-0.2753351804815503,-0.058358485216713454,0.1563667488547168,14,5,64.28571428571428,3.0,1.0,5.0,0.9875012498750125,10000
25,connected_reference_land_pct,connected_lowland_share,68,-0.3271366950414169,-0.20632133450395082,-0.49189100716208106,0.0004999500049995,-0.15105546436614878,0.030671450929495744,0.21159483910371407,14,1,92.85714285714286,2.0,0.0,4.0,0.2548745125487451,10000
25,connected_area_km2,connected_area,68,-0.3330534030614192,-0.20368744512730463,-0.486862564501181,9.999000099990002e-05,-0.162320112990037,0.011146314463488186,0.18544966980952005,14,1,92.85714285714286,2.0,0.0,4.0,0.25907409259074093,10000
25,connected_window_pct,connected_window_share,68,-0.3330534030614192,-0.20368744512730463,-0.486862564501181,9.999000099990002e-05,-0.16009753025155551,0.013761117685231132,0.1844142459060197,14,1,92.85714285714286,2.0,0.0,4.0,0.2546745325467453,10000
50,below_reference_land_pct,lowland_prevalence,68,-0.2993472535023094,-0.17998244073748898,-0.45659112942265734,0.0015998400159984002,-0.1458583043859984,0.033362598770851626,0.21765946482421653,14,1,92.85714285714286,3.0,1.0,5.0,0.17198280171982802,10000
50,conditional_connectivity_pct,conditional_connectivity,68,0.09960662921805541,0.0683579545108435,0.19434267382797138,0.44645535446455353,-0.2746601240507876,-0.05996257970565453,0.15958353119593244,14,5,64.28571428571428,3.0,0.0,5.0,0.9873012698730127,10000
50,connected_reference_land_pct,connected_lowland_share,68,-0.32301408558231853,-0.2028094820017559,-0.49506973633470386,0.0007999200079992001,-0.14338092147955872,0.03572928197885254,0.21045062411726523,14,1,92.85714285714286,2.0,0.0,4.0,0.2538746125387461,10000
50,connected_area_km2,connected_area,68,-0.3283200366454174,-0.2001755926251097,-0.48910432021815275,0.00029997000299970003,-0.1572699164026415,0.0183417948620071,0.19174237508111613,14,1,92.85714285714286,2.0,0.0,4.0,0.25207479252074794,10000
50,connected_window_pct,connected_window_share,68,-0.3283200366454174,-0.2001755926251097,-0.48910432021815275,0.00019998000199980003,-0.15803813413749665,0.017425659426651904,0.19216036187349697,14,1,92.85714285714286,2.0,0.0,4.0,0.2506749325067493,10000
100,below_reference_land_pct,lowland_prevalence,68,-0.28995686528991865,-0.17734855136084282,-0.44751350573468723,0.0021997800219978004,-0.14277302744589074,0.036072832767110735,0.21266270947055,14,1,92.85714285714286,3.0,1.0,5.0,0.17048295170482952,10000
100,conditional_connectivity_pct,conditional_connectivity,68,0.09467976757345067,0.06571184014268182,0.1907218442408289,0.46965303469653036,-0.2739974802559513,-0.06383914138726213,0.15331324041683964,14,5,64.28571428571428,3.0,0.0,5.0,0.9867013298670133,10000
100,connected_reference_land_pct,connected_lowland_share,68,-0.31744092835057447,-0.19841966637401226,-0.4908151414999942,0.0007999200079992001,-0.1358218498301332,0.040882543802725504,0.21960529831660114,14,1,92.85714285714286,2.0,0.0,4.0,0.24727527247275272,10000
100,connected_area_km2,connected_area,68,-0.32244150093522156,-0.19578577699736607,-0.48356826293615135,0.00029997000299970003,-0.15528781921594076,0.0185135702561362,0.19262129251441,14,1,92.85714285714286,2.0,0.0,4.0,0.24827517248275172,10000
100,connected_window_pct,connected_window_share,68,-0.32244150093522156,-0.19578577699736607,-0.48356826293615135,9.999000099990002e-05,-0.15608943772187656,0.017063022483490477,0.18808069626293078,14,1,92.85714285714286,2.0,0.0,4.0,0.25047495250474955,10000
