station_id,station,n_annual_maxima,empirical_rp10_m,gev_rp10_m,gev_rp10_bootstrap_p025_m,gev_rp10_bootstrap_p975_m,gev_shape_scipy_c,gev_loc_m,gev_scale_m,gev_fit_status,gev_minus_empirical_rp10_m,gssr_predint_rp10_lower_m,gssr_predint_rp10_upper_m,gssr_prediction_interval_status
newlyn-p001-uk,Newlyn,41,0.6172450697458022,0.6136770549431246,0.5692073298253788,0.9091277754458782,-0.019916064728969445,0.4726668724867049,0.06126726697056667,ok,-0.003568014802677544,0.46918370411382204,0.766099510683311,annual maxima of product 95% prediction bounds
hoekvanholla-hvh-nl,Hoek van Holland,41,1.5054906522661844,1.5468593194213822,1.4193329317524805,1.6736889373807178,0.001178781891288584,1.149516619042752,0.1768022235758796,ok,0.041368667155197825,1.2042417172932889,1.8103434588426572,annual maxima of product 95% prediction bounds
brest,Brest,41,0.686821597457899,0.7134989446369217,0.6523534829181764,0.7696315854252557,0.08905915859593755,0.5424021468491694,0.08390379725735647,ok,0.026677347179022703,0.5165143159397191,0.8571288789760787,annual maxima of product 95% prediction bounds
aberdeen-p038-uk,Aberdeen,41,0.8384479950554402,0.8193620054402841,0.7567752344055205,0.8664811807412859,0.09020192418477274,0.6083976533194386,0.10358299790615022,ok,-0.019085989615156063,0.6633507118608122,1.0135452782500682,annual maxima of product 95% prediction bounds
sheerness-p015-uk,Sheerness,41,1.3629605897477484,1.351463975251864,1.267439184058265,1.4747175721370491,0.16277253346072193,1.055624810915623,0.15700648719750077,ok,-0.01149661449588435,0.9988018835604547,1.7050195292117705,annual maxima of product 95% prediction bounds
esbjerg-130121-denmark,Esbjerg 130121 Denmark,41,2.3606504472094056,2.288858811951637,2.07710830892924,2.485188817318474,0.058714126917365494,1.6638971863839616,0.2964663315226279,ok,-0.07179163525776877,1.8883888283642025,2.8224089424179217,annual maxima of product 95% prediction bounds
denhelder-hel-nl,Denhelder Hel Nl,41,1.7527079391545102,1.73914531971114,1.6198052507580736,1.8427185637199333,0.11658377682841664,1.3180086804050377,0.21276233256594407,ok,-0.013562619443370227,1.4417531085148363,2.063662769794184,annual maxima of product 95% prediction bounds
lerwick-p041-uk,Lerwick P041 Uk,41,0.5587912411937785,0.5865857573301758,0.5343591925499112,0.9267173157792857,0.08135145056879291,0.4356011116564641,0.0734220242363349,ok,0.027794516136397274,0.41166837850154253,0.7059141038860145,annual maxima of product 95% prediction bounds
cuxhaven-germany,Cuxhaven Germany,41,2.6127060849839068,2.538212678247783,2.3631362963005,2.67582424131964,0.19967434742614315,1.875902004730624,0.36537086771781824,ok,-0.07449340673612381,2.124140862321133,3.0980865670529445,annual maxima of product 95% prediction bounds
delfzijl-del-nl,Delfzijl Del Nl,41,2.3899968146080797,2.4323097568188574,2.24599099277748,2.5704355297215917,0.19739305124640727,1.8150568750805358,0.3397060194274583,ok,0.04231294221077775,1.9669132489237047,2.813080380292454,annual maxima of product 95% prediction bounds
portpatrick-p063-uk,Portpatrick P063 Uk,41,1.2610382059540646,1.1606336769362058,1.0465548345498177,1.2802205144567165,-0.02606839875829796,0.7953172185923774,0.15762131307559032,ok,-0.10040452901785879,1.030768190911202,1.4913082209969264,annual maxima of product 95% prediction bounds
fishguard-p055-uk,Fishguard P055 Uk,41,0.8076390759785831,0.7571645854941065,0.7092027044277659,0.8323463691620563,-0.05883999904268305,0.5681440136981204,0.0785571324023037,ok,-0.05047449048447661,0.6284606058992306,0.9868175460579357,annual maxima of product 95% prediction bounds
milfordhaven-p056-uk,Milfordhaven P056 Uk,41,1.0426455504812275,0.9615859988202441,0.8506569760121712,1.089920162472178,-0.22271008084659846,0.671097335210217,0.09942835132256539,ok,-0.08105955166098344,0.8494097256739173,1.235881375288538,annual maxima of product 95% prediction bounds
tregde-006-norway,Tregde 006 Norway,41,0.6865302915163924,0.6795641428884776,0.6368845720907896,0.7227093673218432,0.1286070464472879,0.5143296185084132,0.08456253739216944,ok,-0.006966148627914892,0.5103847670708582,0.8626758159619267,annual maxima of product 95% prediction bounds
