station_id,nearest_dist_km,nearest_rp10_m,nearest3_mean_rp10_m,nearest3_min_rp10_m,nearest3_max_rp10_m,nearest3_range_m,within1km_n,within1km_min_rp10_m,within1km_max_rp10_m,within5km_n,within5km_min_rp10_m,within5km_max_rp10_m
sheerness-p015-uk,0.4927874549512442,5.25600004196167,5.1810000737508135,5.085000038146973,5.25600004196167,0.17100000381469727,1,5.25600004196167,5.25600004196167,3,5.085000038146973,5.25600004196167
newlyn-p001-uk,0.898627283055563,3.3459999561309814,3.3523333072662354,3.3459999561309814,3.36299991607666,0.01699995994567871,1,3.3459999561309814,3.3459999561309814,2,3.3459999561309814,3.3480000495910645
aberdeen-p038-uk,1.2635678555080092,2.822000026702881,2.817999998728434,2.815999984741211,2.822000026702881,0.006000041961669922,0,,,3,2.815999984741211,2.822000026702881
hoekvanholla-hvh-nl,0.4316300697656207,3.372999906539917,3.3413332303365073,3.2909998893737793,3.372999906539917,0.0820000171661377,1,3.372999906539917,3.372999906539917,2,3.359999895095825,3.372999906539917
brest-france,0.8326028065721115,4.313000202178955,4.289000034332275,4.232999801635742,4.321000099182129,0.08800029754638672,1,4.313000202178955,4.313000202178955,3,4.232999801635742,4.321000099182129
newyork-the-battery,0.8850563186007949,1.3109999895095825,1.58733336130778,1.3109999895095825,2.0510001182556152,0.7400001287460327,1,1.3109999895095825,1.3109999895095825,1,1.3109999895095825,1.3109999895095825
hong-kong-b,4.761150213622031,1.8229999542236328,1.693999965985616,1.6009999513626099,1.8229999542236328,0.22200000286102295,0,,,1,1.8229999542236328,1.8229999542236328
charleston-sc,1.8295311363421696,1.3459999561309814,1.3143333196640015,1.2410000562667847,1.3559999465942383,0.11499989032745361,0,,,2,1.3459999561309814,1.3559999465942383
