subset,n_sites,n_tidal_values,spearman_tidal_range_vs_D10,spearman_tidal_range_vs_connected_2m,spearman_D10_vs_connected_2m,kendall_D10_vs_connected_2m,spearman_COAST_RP10_vs_connected_2m,top20_n,top20_overlap_COAST_vs_connected,top20_mismatch_COAST_vs_connected
all_30_sites_rank_mismatch,30,15,0.918677757364245,-0.13404831089945207,-0.3868743047830923,-0.2781609195402299,-0.34371523915461627,6,1,0.8333333333333334
source_verified_tidal_range_subset,13,13,0.9505494505494506,-0.2087912087912088,-0.09890109890109891,-0.10256410256410255,-0.07142857142857142,3,1,0.6666666666666667
all_available_tidal_range_subset,15,15,0.918677757364245,-0.13404831089945207,-0.12857142857142856,-0.10476190476190476,-0.24642857142857136,3,1,0.6666666666666667
