station_id,label,tidal_range_metric,spring_tidal_range_m,tidal_regime,mhws_m,mlws_m,source_status,source,source_url,definition_url,notes
sheerness-p015-uk,Sheerness,mean spring range = MHWS - MLWS,5.2,macrotidal,5.7,0.5,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.
newlyn-p001-uk,Newlyn,mean spring range = MHWS - MLWS,4.6,macrotidal,5.5,0.9,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.
aberdeen-p038-uk,Aberdeen,mean spring range = MHWS - MLWS,3.5,meso-macrotidal,4.3,0.8,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.
hoekvanholla-hvh-nl,Hoek van Holland,spring range context,1.7,mesotidal,,,indicative_context,Port of Rotterdam/Rijkswaterstaat candidate source identified; exact station spring range not yet extracted automatically,https://www.portofrotterdam.com/nl/actuele-informatie/weer-getijde-en-waterdiepte,,Retain as context until HydroMeteoBundel or Rijkswaterstaat station statistics are parsed.
brest-france,Brest,spring range context,6.1,macrotidal,,,indicative_context,SHOM/REFMAR tidal-prediction definitions identified; exact station spring range not yet extracted automatically,https://refmar.shom.fr/sites/default/files/2025-01/GT-TSH_CatD_Fiche_Prediction_maree.pdf,,Retain as context until SHOM station PMVE/BMVE or harmonic metadata are parsed.
hong-kong-b,Hong Kong,spring range context,1.9,mesotidal,,,official_general_context,Hong Kong Observatory notes give mean tidal range context for Hong Kong waters,https://www.hko.gov.hk/en/tide/enotes.htm,,HKO notes report mean tidal range of about 1 m in Victoria Harbour and 1.4 m at Tsim Bei Tsui; spring-range value remains contextual.
newyork-the-battery,New York-The Battery,NOAA MN mean range of tide,1.38,mesotidal,,,source_verified,NOAA CO-OPS tidal datums API station 8518750,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8518750/datums.json?units=metric,https://tidesandcurrents.noaa.gov/datum_options.html,"NOAA MN is mean range of tide, not MHWS-MLWS; epoch=1983-2001; accepted=Nov 19 2012."
charleston-sc,Charleston,NOAA MN mean range of tide,1.591,mesotidal,,,source_verified,NOAA CO-OPS tidal datums API station 8665530,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8665530/datums.json?units=metric,https://tidesandcurrents.noaa.gov/datum_options.html,"NOAA MN is mean range of tide, not MHWS-MLWS; epoch=1983-2001; accepted=Apr 17 2003."
