station_id,sensitivity_type,n_settings,connected_2m_min_pct,connected_2m_max_pct,bathtub_2m_min_pct,bathtub_2m_max_pct
aberdeen-p038-uk,boundary_seed,2,6.0889929742388755,6.0889929742388755,7.240437158469946,7.240437158469946
aberdeen-p038-uk,lowland_denominator,3,4.387260071714828,9.184574624668825,5.216902200660901,10.921401236385046
aberdeen-p038-uk,window_size,3,5.70020027730704,6.266443434585027,6.616854105684794,7.6536713704855295
brest,boundary_seed,2,5.3316272126252935,5.3316272126252935,7.63489016847942,7.63489016847942
brest,lowland_denominator,3,4.305890458146744,6.743997841920691,6.166035136066139,9.65740490963043
brest,window_size,3,3.9867109634551494,6.2990067956089915,5.940199335548173,7.63489016847942
hoekvanholla-hvh-nl,boundary_seed,2,3.0976365277201885,33.91546135271592,34.71548086538696,34.71548086538696
hoekvanholla-hvh-nl,lowland_denominator,3,3.0972588040191202,3.108174253548703,34.71124768315286,34.833578071463535
hoekvanholla-hvh-nl,window_size,3,3.0976365277201885,47.19626168224299,31.94496560350219,47.98852506779623
newlyn-p001-uk,boundary_seed,2,8.221476510067115,8.221476510067115,8.263422818791947,8.263422818791947
newlyn-p001-uk,lowland_denominator,3,6.619385342789598,11.34916039374638,6.653157716987504,11.407064273306311
newlyn-p001-uk,window_size,3,6.864470706562736,8.848080133555927,6.990193613276339,8.903728436282693
sheerness-p015-uk,boundary_seed,2,39.25492873602458,41.15814628317829,42.77972177178459,42.77972177178459
sheerness-p015-uk,lowland_denominator,3,38.60908251489969,43.016132803366844,42.07588348862587,46.87865326163198
sheerness-p015-uk,window_size,3,39.25492873602458,52.1431467217042,42.77972177178459,53.90483912578779
