station_id,station,lat,lon,coastal_sector,match_dist_km,coast_rp_source_station_id,coast_rp_source_lat,coast_rp_source_lon,recomputed_match_dist_km,coast_rp_rp2_m,coast_rp_rp5_m,coast_rp_rp10_m,coast_rp_rp25_m,coast_rp_rp50_m,coast_rp_rp100_m
esbjerg-130121-denmark,Esbjerg 130121 Denmark,55.467,8.4333,Denmark-Norway,1.0961426145407729,BAL_GL_TS_MO_IF000460,55.465999603271484,8.416000366210938,1.0961441285973788,2.9730000495910645,3.2219998836517334,3.3989999294281006,3.7039999961853027,3.921999931335449,4.1020002365112305
denhelder-hel-nl,Denhelder Hel Nl,52.965,4.7464,Dutch-German-Bight,0.6271861455373051,id_obs_denhelder_hel_nl_rws,52.96099853515625,4.752999782562256,0.627187011843704,2.3519999980926514,2.5209999084472656,2.635999917984009,2.763000011444092,2.8469998836517334,2.9119999408721924
lerwick-p041-uk,Lerwick P041 Uk,60.15,-1.1333,British-North-Sea,0.0940864059903398,id_obs_lerwick,60.150001525878906,-1.1349999904632568,0.09408653594801389,1.3890000581741333,1.4609999656677246,1.5080000162124634,1.569000005722046,1.6109999418258667,1.6549999713897705
cuxhaven-germany,Cuxhaven Germany,53.867,8.7167,Denmark-Norway,0.5308434347028981,id_coast_glob_eur_03989,53.869998931884766,8.722999572753906,0.5308441679350537,4.120999813079834,4.480999946594238,4.696000099182129,4.940999984741211,5.114999771118164,5.25600004196167
delfzijl-del-nl,Delfzijl Del Nl,53.326,6.9331,Dutch-German-Bight,0.2941116420316665,NWS_NO_TS_MO_Delfzijl,53.327999114990234,6.935999870300293,0.29411204827596776,3.571000099182129,3.8940000534057617,4.093999862670898,4.302999973297119,4.440999984741211,4.560999870300293
portpatrick-p063-uk,Portpatrick P063 Uk,54.843,-5.12,Atlantic-Celtic,0.7785273697399445,id_coast_glob_eur_01622,54.83599853515625,-5.119999885559082,0.7785284450877475,2.687000036239624,2.803999900817871,2.88700008392334,2.984999895095825,3.0510001182556152,3.115999937057495
newlyn-p001-uk,Newlyn,50.102,-5.5417,Atlantic-Celtic,0.898627283055563,id_obs_newlyn,50.10499954223633,-5.53000020980835,0.898628524292419,3.197999954223633,3.2860000133514404,3.3459999561309814,3.424999952316284,3.4790000915527344,3.5309998989105225
fishguard-p055-uk,Fishguard P055 Uk,52.014,-4.9833,British-North-Sea,0.6424302156659428,id_obs_fishguard_p055_uk_bodc,52.00899887084961,-4.98799991607666,0.6424311030289617,2.8350000381469727,2.930000066757202,2.997999906539917,3.0880000591278076,3.1579999923706055,3.2200000286102295
hoekvanholla-hvh-nl,Hoek van Holland,51.977,4.12,Dutch-German-Bight,0.4316300697656207,NWS_NO_TS_MO_HoekVanHolland,51.97999954223633,4.124000072479248,0.4316306659584376,3.052000045776367,3.24399995803833,3.372999906539917,3.5339999198913574,3.628999948501587,3.7070000171661377
milfordhaven-p056-uk,Milfordhaven P056 Uk,51.702,-5.0143,Atlantic-Celtic,0.1860794166112794,id_obs_milfordhaven_p056_uk_bodc,51.70199966430664,-5.017000198364258,0.18607967363511593,4.188000202178955,4.296000003814697,4.375999927520752,4.4710001945495605,4.546999931335449,4.614999771118164
