station_id,station,tg,lat,lon,num_year,corrn,rmse,gssr_archive,archive_available,passes_years_ge25,passes_corr_ge045,passes_corr_ge055,passes_corr_ge065,selected_base_30,selection_reason,match_dist_km,coast_rp_rp10_m,deltadtm_tile_available,deltadtm_tiles,coast_rp_source_station_id,coast_rp_source_lat,coast_rp_source_lon,recomputed_match_dist_km,included_in_primary_match_sample,match_exclusion_reason,threshold_note
esbjerg-130121-denmark,Esbjerg 130121 Denmark,esbjerg-130121-denmark-dmi.csv,55.467,8.4333,37,0.8293650913766994,0.2188902502771649,esbjerg_130121_denmark.7z,True,True,True,True,True,True,included in baseline 30-station subset,1.0961426145407729,3.3989999294281006,True,DeltaDTM_v1_1_N55E008.tif,BAL_GL_TS_MO_IF000460,55.465999603271484,8.416000366210938,1.0961441285973788,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
denhelder-hel-nl,Denhelder Hel Nl,denhelder-hel-nl-rws.csv,52.965,4.7464,37,0.8248201333244836,0.1571698385026642,denhelder_hel_nl.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.6271861455373051,2.635999917984009,True,DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N53E004.tif,id_obs_denhelder_hel_nl_rws,52.96099853515625,4.752999782562256,0.627187011843704,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
lerwick-p041-uk,Lerwick P041 Uk,lerwick-p041-uk-bodc.csv,60.15,-1.1333,37,0.8243864918895287,0.0751129277312689,lerwick_p041_uk.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.0940864059903398,1.5080000162124634,True,DeltaDTM_v1_1_N60W002.tif,id_obs_lerwick,60.150001525878906,-1.1349999904632568,0.09408653594801389,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
cuxhaven-germany,Cuxhaven Germany,cuxhaven-germany-bsh.csv,53.867,8.7167,37,0.8212878428465595,0.2341981421529836,cuxhaven_germany.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.5308434347028981,4.696000099182129,True,DeltaDTM_v1_1_N53E008.tif,id_coast_glob_eur_03989,53.869998931884766,8.722999572753906,0.5308441679350537,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
delfzijl-del-nl,Delfzijl Del Nl,delfzijl-del-nl-rws.csv,53.326,6.9331,37,0.8130688162971842,0.2137319247967526,delfzijl_del_nl.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.2941116420316665,4.093999862670898,True,DeltaDTM_v1_1_N53E006.tif,NWS_NO_TS_MO_Delfzijl,53.327999114990234,6.935999870300293,0.29411204827596776,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
portpatrick-p063-uk,Portpatrick P063 Uk,portpatrick-p063-uk-bodc.csv,54.843,-5.12,37,0.806112528372705,0.1175289694492101,portpatrick_p063_uk.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.7785273697399445,2.88700008392334,True,DeltaDTM_v1_1_N54W006.tif,id_coast_glob_eur_01622,54.83599853515625,-5.119999885559082,0.7785284450877475,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
newlyn-p001-uk,Newlyn,newlyn-p001-uk-bodc.csv,50.102,-5.5417,37,0.8048393708363191,0.0758261956468813,newlyn_p001_uk.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.898627283055563,3.345999956130981,True,DeltaDTM_v1_1_N50W006.tif,id_obs_newlyn,50.10499954223633,-5.53000020980835,0.898628524292419,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
fishguard-p055-uk,Fishguard P055 Uk,fishguard-p055-uk-bodc.csv,52.014,-4.9833,37,0.7981757180354606,0.0910834652015793,fishguard_p055_uk.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.6424302156659428,2.997999906539917,True,DeltaDTM_v1_1_N52W006.tif;DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif;DeltaDTM_v1_1_N52W005.tif,id_obs_fishguard_p055_uk_bodc,52.00899887084961,-4.98799991607666,0.6424311030289617,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
hoekvanholla-hvh-nl,Hoek van Holland,hoekvanholla-hvh-nl-rws.csv,51.977,4.12,37,0.7955755620275695,0.1539127229808689,hoekvanholla_hvh_nl.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.4316300697656207,3.372999906539917,True,DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,NWS_NO_TS_MO_HoekVanHolland,51.97999954223633,4.124000072479248,0.4316306659584376,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
milfordhaven-p056-uk,Milfordhaven P056 Uk,milfordhaven-p056-uk-bodc.csv,51.702,-5.0143,37,0.7890485580401847,0.0991096875377072,milfordhaven_p056_uk.7z,True,True,True,True,True,True,included in baseline 30-station subset,0.1860794166112794,4.375999927520752,True,DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif,id_obs_milfordhaven_p056_uk_bodc,51.70199966430664,-5.017000198364258,0.18607967363511593,True,included_match_le6km,"The 6 km rule is a pre-specified extraction screen, not an along-coast representativeness guarantee."
