station_id,station,D10_nominal_m,D10_mc_p025_m,D10_mc_p500_m,D10_mc_p975_m,D10_rank_p05,D10_rank_p50,D10_rank_p95,D10_top20_probability
newlyn-p001-uk,Newlyn,2.7287548863851794,2.6844298628011116,2.7248073627212848,2.759422460061407,11.0,12.0,12.0,0.0
hoekvanholla-hvh-nl,Hoek van Holland,1.8675092542737328,1.7682891523341333,1.8506325547484996,1.9181816468637516,21.0,21.0,21.0,0.0
brest,Brest,3.626178604721056,3.4648664452000464,3.567554984024291,3.640579124843628,5.0,6.0,7.0,0.8204
aberdeen-p038-uk,Aberdeen,1.9835520316474409,1.9477049811583538,1.9831537204965382,2.02010463115385,19.0,20.0,20.0,0.0
sheerness-p015-uk,Sheerness,3.893039452213921,3.7130255212309193,3.8323520144699983,3.931445744380007,4.0,4.0,4.0,1.0
esbjerg-130121-denmark,Esbjerg 130121 Denmark,1.038349482218695,0.9472670367899902,1.0848155181834738,1.2746887144523014,26.0,27.0,28.0,0.0
denhelder-hel-nl,Denhelder Hel Nl,0.8832919788294986,0.7569009352043465,0.89734786512486,1.047840783211539,28.0,29.0,29.0,0.0
lerwick-p041-uk,Lerwick P041 Uk,0.9492087750186848,0.8739435173188027,0.9379587577161226,0.9839669158035936,28.0,28.0,29.0,0.0
cuxhaven-germany,Cuxhaven Germany,2.083294014198222,1.895984103154989,2.0848427865257175,2.2916360977790813,16.0,19.0,20.0,0.0
delfzijl-del-nl,Delfzijl Del Nl,1.7040030480628188,1.4134371875128566,1.6473800865593706,1.8111950065801636,22.0,24.0,25.0,0.0
portpatrick-p063-uk,Portpatrick P063 Uk,1.6259618779692753,1.5366042035537142,1.662743771512523,1.8290501216929997,22.0,23.0,25.0,0.0
fishguard-p055-uk,Fishguard P055 Uk,2.190360830561334,2.165004928703854,2.2116272955870846,2.2847301090769916,16.0,17.0,18.0,0.0
milfordhaven-p056-uk,Milfordhaven P056 Uk,3.3333543770395244,3.178164440237468,3.336263641423936,3.5026455128661467,8.0,9.0,9.0,0.0038
tregde-006-norway,Tregde 006 Norway,0.3124697213582108,0.25620474691732054,0.31289573613524374,0.37091467969055875,30.0,30.0,30.0,0.0
lowestoft-p024-uk,Lowestoft P024 Uk,1.1869294958273466,1.0783544756119292,1.1909354376730128,1.2978651233141527,26.0,26.0,27.0,0.0
wick-p035-uk,Wick P035 Uk,1.75192366822928,1.6703495424254682,1.7333165958593575,1.7952952445384636,22.0,22.0,24.0,0.0
stornoway-p042-uk,Stornoway P042 Uk,2.1130228291671784,2.0731744628707816,2.1234210461772776,2.1904281254441575,17.0,18.0,19.0,0.0
le-conquet,Le Conquet France,3.389825777307357,3.3249797345793146,3.3993310117282642,3.4586982045478356,8.0,8.0,9.0,0.0002
port-tudy,Port Tudy France,2.3948265046366863,2.329146461804724,2.3793049816354674,2.4096910512695597,13.0,14.0,15.0,0.0
cherbourg,Cherbourg France,2.8877096412317576,2.7037730457162232,2.831310265988475,2.9036765559459377,11.0,11.0,12.0,0.0
saint-nazaire,Saint Nazaire France,2.193935463915338,2.117445597458803,2.2097850723784394,2.3338323225485365,15.0,17.0,18.0,0.0
saint-gildas,Saint Gildas France,2.3290794630045246,2.3103893757873966,2.348171700052175,2.4034102769562926,13.0,15.0,15.0,0.0
le-havre,Le Havre France,3.619348751528013,3.5585008455159937,3.6165056151343693,3.6838196570412824,5.0,5.0,6.0,0.9984
dunkerque,Dunkerque France,3.198240233709769,3.048391186155601,3.1698008705496967,3.2555337436228706,10.0,10.0,10.0,0.0
roscoff,Roscoff France,4.020045654287721,3.892207872388231,4.011565430944616,4.12551899077148,3.0,3.0,3.0,1.0
boulogne-sur-mer,Boulogne Sur Mer,4.294696942086621,4.242515649893875,4.334149203018802,4.4341781603828565,2.0,2.0,2.0,1.0
dieppe,Dieppe France,4.867851705849622,4.780542066226268,4.879787963135902,5.00350880525219,1.0,1.0,1.0,1.0
immingham-p026-uk,Immingham P026 Uk,3.516798362568027,3.4571995810671967,3.5124083187667314,3.5597898969565276,6.0,7.0,7.0,0.1772
millport-p049-uk,Millport P049 Uk,1.5957186576580038,1.5463340421312113,1.603089768932188,1.6700550715172968,23.0,24.0,25.0,0.0
holyhead-p054-uk,Holyhead P054 Uk,2.4872904188248226,2.2013517048002176,2.400127749183724,2.5536288714077924,13.0,13.0,16.0,0.0
