n_sites,top_n,top_overlap,top_mismatch_fraction,spearman,kendall,top_water_sites,top_terrain_sites,diagnostic,corr_threshold,target_n,selected_overlap_with_baseline,selected_ids
47,10,3,0.7,-0.26162874747135806,-0.19620548144235117,avonmouth-p060-uk;boulogne-sur-mer;calais;cuxhaven-germany;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;ilfracombe-p061-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk,candidate-pool threshold sensitivity,0.45,all eligible,30,esbjerg-130121-denmark;denhelder-hel-nl;lerwick-p041-uk;cuxhaven-germany;delfzijl-del-nl;portpatrick-p063-uk;newlyn-p001-uk;fishguard-p055-uk;hoekvanholla-hvh-nl;milfordhaven-p056-uk;tregde-006-norway;lowestoft-p024-uk;wick-p035-uk;stornoway-p042-uk;le-conquet;brest;port-tudy;cherbourg;saint-nazaire;saint-gildas;le-havre;dunkerque;roscoff;boulogne-sur-mer;dieppe;immingham-p026-uk;aberdeen-p038-uk;millport-p049-uk;holyhead-p054-uk;sheerness-p015-uk;heysham-p050-uk;northshields-p032-uk;whitby-p174-uk;dover-p012-uk;ullapool-p043-uk;newhaven-p011-uk;calais;ilfracombe-p061-uk;felixstowe-p204-uk;cordemais;le-pellerin;leith-p034-uk;tobermory-p223-uk;donges;cromer-p183-uk;avonmouth-p060-uk;hinkleypoint-p003-uk
46,10,3,0.7,-0.26192605396523033,-0.19526343508355715,avonmouth-p060-uk;boulogne-sur-mer;calais;cuxhaven-germany;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;ilfracombe-p061-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk,candidate-pool threshold sensitivity,0.55,all eligible,30,esbjerg-130121-denmark;denhelder-hel-nl;lerwick-p041-uk;cuxhaven-germany;delfzijl-del-nl;portpatrick-p063-uk;newlyn-p001-uk;fishguard-p055-uk;hoekvanholla-hvh-nl;milfordhaven-p056-uk;tregde-006-norway;lowestoft-p024-uk;wick-p035-uk;stornoway-p042-uk;le-conquet;brest;port-tudy;cherbourg;saint-nazaire;saint-gildas;le-havre;dunkerque;roscoff;boulogne-sur-mer;dieppe;immingham-p026-uk;aberdeen-p038-uk;millport-p049-uk;holyhead-p054-uk;sheerness-p015-uk;heysham-p050-uk;northshields-p032-uk;whitby-p174-uk;dover-p012-uk;ullapool-p043-uk;newhaven-p011-uk;calais;ilfracombe-p061-uk;felixstowe-p204-uk;cordemais;leith-p034-uk;tobermory-p223-uk;donges;cromer-p183-uk;avonmouth-p060-uk;hinkleypoint-p003-uk
45,9,2,0.7777777777777778,-0.2134457657865991,-0.16270845937784711,boulogne-sur-mer;calais;cuxhaven-germany;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk,candidate-pool threshold sensitivity,0.65,all eligible,30,esbjerg-130121-denmark;denhelder-hel-nl;lerwick-p041-uk;cuxhaven-germany;delfzijl-del-nl;portpatrick-p063-uk;newlyn-p001-uk;fishguard-p055-uk;hoekvanholla-hvh-nl;milfordhaven-p056-uk;tregde-006-norway;lowestoft-p024-uk;wick-p035-uk;stornoway-p042-uk;le-conquet;brest;port-tudy;cherbourg;saint-nazaire;saint-gildas;le-havre;dunkerque;roscoff;boulogne-sur-mer;dieppe;immingham-p026-uk;aberdeen-p038-uk;millport-p049-uk;holyhead-p054-uk;sheerness-p015-uk;heysham-p050-uk;northshields-p032-uk;whitby-p174-uk;dover-p012-uk;ullapool-p043-uk;newhaven-p011-uk;calais;ilfracombe-p061-uk;felixstowe-p204-uk;cordemais;leith-p034-uk;tobermory-p223-uk;donges;cromer-p183-uk;hinkleypoint-p003-uk
