n_sites,top_n,top_overlap,top_mismatch_fraction,spearman,kendall,top_water_sites,top_terrain_sites,water_metric,terrain_metric,rp_year,eta_m
30,6,0,1.0,-0.3775305895439377,-0.2597701149425288,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;portpatrick-p063-uk;saint-gildas;tregde-006-norway;wick-p035-uk,COAST-RP RP10,+1 m connected,10,1.0
30,6,1,0.8333333333333334,-0.34371523915461627,-0.25517241379310346,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;dunkerque;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk,COAST-RP RP10,+2 m connected,10,2.0
30,6,2,0.6666666666666667,-0.1657397107897664,-0.14022988505747128,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;immingham-p026-uk;sheerness-p015-uk,COAST-RP RP10,+3 m connected,10,3.0
30,6,0,1.0,-0.385539488320356,-0.2689655172413793,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;portpatrick-p063-uk;saint-gildas;tregde-006-norway;wick-p035-uk,COAST-RP RP50,+1 m connected,50,1.0
30,6,1,0.8333333333333334,-0.3446051167964405,-0.26436781609195403,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;dunkerque;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk,COAST-RP RP50,+2 m connected,50,2.0
30,6,2,0.6666666666666667,-0.14883203559510566,-0.1310344827586207,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;immingham-p026-uk;sheerness-p015-uk,COAST-RP RP50,+3 m connected,50,3.0
30,6,0,1.0,-0.3939933259176863,-0.2735632183908046,boulogne-sur-mer;cuxhaven-germany;dieppe;dunkerque;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;portpatrick-p063-uk;saint-gildas;tregde-006-norway;wick-p035-uk,COAST-RP RP100,+1 m connected,100,1.0
30,6,2,0.6666666666666667,-0.33837597330367075,-0.2597701149425288,boulogne-sur-mer;cuxhaven-germany;dieppe;dunkerque;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;dunkerque;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk,COAST-RP RP100,+2 m connected,100,2.0
30,6,3,0.5,-0.13815350389321468,-0.12643678160919541,boulogne-sur-mer;cuxhaven-germany;dieppe;dunkerque;roscoff;sheerness-p015-uk,cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;immingham-p026-uk;sheerness-p015-uk,COAST-RP RP100,+3 m connected,100,3.0
