station_id,station,mask_source,marine_seed_resolved,marine_seed_status,marine_context_width_km,marine_context_source,marine_context_ocean_cells,marine_context_river_cells,window_area_km2,valid_area_km2,mask_lowland_area_km2,mask_reference_land_area_km2,land_cells,land_area_km2,ocean_cells,ocean_area_km2,lake_cells,lake_area_km2,river_cells,river_area_km2,outside_mask_support_cells,outside_mask_support_area_km2,clipped_255_cells,clipped_255_area_km2
tregde-006-norway,Tregde 006 Norway,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),100052,541,100.53654566131203,48.07282594164379,18.913942799109417,48.07282594164379,95131,48.07282594164379,100052,50.606660952085804,3136,1.5838459051420273,541,0.27321286244040466,0,0.0,0,0.0
lowestoft-p024-uk,Lowestoft P024 Uk,DeltaDTM_v1_1_N52E001.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N52E001.tif,60073,622,100.59878908870212,47.27630776965928,33.03222418089376,47.27630776965928,54238,47.27630776965928,60073,52.369816328484504,471,0.4105127929337629,622,0.5421521976245709,0,0.0,0,0.0
wick-p035-uk,Wick P035 Uk,DeltaDTM_v1_1_N58W004.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N58W004.tif,58655,99,100.5973544660625,55.683459061785825,9.590267960419691,55.683459061785825,74349,55.683459061785825,58655,43.9333703893201,1209,0.9063810391547316,99,0.07414397580184495,0,0.0,0,0.0
stornoway-p042-uk,Stornoway P042 Uk,DeltaDTM_v1_1_N58W007.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N58W007.tif,36302,0,100.52536391210782,70.28727708840731,14.56902527710297,70.28727708840731,93239,70.28727708840731,36302,27.37666189701314,3793,2.8614249266873704,0,0.0,0,0.0,0,0.0
le-conquet,Le Conquet France,DeltaDTM_v1_1_N48W005.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N48W005.tif,101061,1092,100.64263991857217,35.84920407602422,2.0538902168457875,35.84920407602422,56560,35.84920407602422,101061,64.07017353065535,49,0.03105328599158518,1092,0.6922090259010214,0,0.0,0,0.0
brest,Brest,DeltaDTM_v1_1_N48W005.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N48W005.tif,58735,961,100.59543634506065,62.636263318855555,5.2456870661785935,62.636263318855555,98883,62.636263318855555,58735,37.23442020841672,183,0.11595720268973739,961,0.6087956150986344,0,0.0,0,0.0
port-tudy,Port Tudy France,DeltaDTM_v1_1_N47W004.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N47W004.tif,132470,0,100.58051982042146,15.417579555925613,1.5333623076136156,15.417579555925613,23983,15.417579555925613,132470,85.14558617698232,27,0.0173540875135252,0,0.0,0,0.0,0,0.0
cherbourg,Cherbourg France,DeltaDTM_v1_1_N49W002.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N49W002.tif,69347,0,100.48129346335188,57.660649063556335,14.153103782379373,57.660649063556335,93314,57.660649063556335,69347,42.812617756540476,13,0.008026643255063937,0,0.0,0,0.0,0,0.0
saint-nazaire,Saint Nazaire France,DeltaDTM_v1_1_N47W003.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N47W003.tif,47600,19377,100.67097280733219,56.652887518225974,44.27758851437855,56.652887518225974,87526,56.652887518225974,47600,30.83024078717142,999,0.6465928087474999,19377,12.541251693187295,0,0.0,0,0.0
saint-gildas,Saint Gildas France,DeltaDTM_v1_1_N47W003.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N47W003.tif,132349,0,100.48904841388062,14.601906545415694,6.260949548121516,14.601906545415694,22501,14.601906545415694,132349,85.88714186846494,0,0.0,0,0.0,0,0.0,0,0.0
le-havre,Le Havre France,DeltaDTM_v1_1_N49E000.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N49E000.tif,69595,24070,100.62743792318436,42.29796397447385,19.60603479723085,42.29796397447385,68266,42.29796397447385,69595,43.14407089929399,417,0.2584033330455495,24070,14.926999716370961,0,0.0,0,0.0
dunkerque,Dunkerque France,DeltaDTM_v1_1_N51E002.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N51E002.tif,49812,575,100.59861011050234,52.60741409663865,52.5633253498833,52.60741409663865,58448,52.60741409663865,49812,44.789884294893106,2983,2.6837792618010634,575,0.5175324571695239,0,0.0,0,0.0
roscoff,Roscoff France,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),115194,0,100.54719736499683,28.039641234832324,10.120854373303642,28.039641234832324,44532,28.039641234832324,115194,72.4987492766629,14,0.008806853501610118,0,0.0,0,0.0,0,0.0
boulogne-sur-mer,Boulogne Sur Mer,DeltaDTM_v1_1_N50E001.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N50E001.tif,58758,724,100.70321746230594,46.825788907994536,9.50508940109998,46.825788907994536,51684,46.825788907994536,58758,53.22145830282474,0,0.0,724,0.6559702514866548,0,0.0,0,0.0
dieppe,Dieppe France,DeltaDTM_v1_1_N49E001.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N49E001.tif,75239,0,100.50674833504858,54.07552862006931,11.291466427467304,54.07552862006931,88014,54.07552862006931,75239,46.18603584009766,399,0.2451838748816152,0,0.0,0,0.0,0,0.0
immingham-p026-uk,Immingham P026 Uk,mask:mosaic(2),True,resolved_context_ocean_connected_river,50.0,mask:mosaic(2),697327,461845,100.69759476177953,61.511323704805164,58.176047401264036,61.511323704805164,72473,61.511323704805164,0,0.0,452,0.38346321654411225,45739,38.802807840430255,0,0.0,0,0.0
aberdeen-p038-uk,Aberdeen,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),88625,2500,100.56937551929892,53.28492089218125,9.805486464062405,53.28492089218125,102939,53.28492089218125,88625,45.87032732529978,232,0.12019477032358658,2500,1.2939325314943066,0,0.0,0,0.0
millport-p049-uk,Millport P049 Uk,DeltaDTM_v1_1_N55W005.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N55W005.tif,68867,0,100.56111418358014,44.73923972070818,10.527298657943682,44.73923972070818,55545,44.73923972070818,68867,55.46263579052565,446,0.3592386723463271,0,0.0,0,0.0,0,0.0
