station_id,label,eta_m,coastal_lowland_cells,all_below_cells,connected8_cells,connected4_cells,unconnected8_cells,seed_cells,boundary_linked_ocean_cells_8n,all_below_lowland_pct,connected8_lowland_pct,connected4_lowland_pct,unconnected8_lowland_pct,connected4_minus_connected8_pct_points,connected4_to_connected8_ratio,max_path_steps_8n,p95_path_steps_8n,max_path_km_8n,p95_path_km_8n
sheerness-p015-uk,Sheerness,0.5,23434,500,114,114,386,454,30756,2.1336519586924982,0.48647264658188955,0.48647264658188955,1.6471793121106084,0.0,1.0,98,96.0,2.9445259862241864,2.8844336191583864
sheerness-p015-uk,Sheerness,1.0,23434,2386,1227,331,1159,454,30756,10.1817871468806,5.23598190663139,1.4124775966544336,4.945805240249211,-3.823504309976957,0.26976365118174406,114,104.0,3.4252649227505843,3.1248030874215855
sheerness-p015-uk,Sheerness,2.0,23434,10025,9199,9002,826,454,30756,42.77972177178459,39.25492873602458,38.41426986429973,3.524793035760007,-0.8406588717248482,0.978584628763996,101,86.0,3.034664536822886,2.583971783829388
hoekvanholla-hvh-nl,Hoek v.H.,0.5,40999,2111,236,234,1875,876,41763,5.148906070879778,0.5756237957023342,0.5707456279421449,4.573282275177443,-0.004878167760189345,0.9915254237288135,146,136.0,3.660492537136142,3.4097738702090092
hoekvanholla-hvh-nl,Hoek v.H.,1.0,40999,6425,650,648,5775,876,41763,15.671113929608039,1.5854045220615136,1.5805263543013244,14.085709407546526,-0.004878167760189234,0.9969230769230769,148,131.54999999999995,3.7106362705215687,3.2982040634264336
hoekvanholla-hvh-nl,Hoek v.H.,2.0,40999,14233,1270,1267,12963,876,41763,34.71548086538696,3.0976365277201885,3.0903192760799043,31.61784433766677,-0.007317251640284184,0.9976377952755905,148,133.0,3.7106362705215687,3.334558270130869
newlyn-p001-uk,Newlyn,0.5,2384,60,60,55,0,356,20977,2.5167785234899327,2.5167785234899327,2.307046979865772,0.0,-0.2097315436241609,0.9166666666666667,111,104.24999999999999,3.3820068986625347,3.17634431698711
newlyn-p001-uk,Newlyn,1.0,2384,100,100,97,0,356,20977,4.194630872483222,4.194630872483222,4.068791946308725,0.0,-0.125838926174497,0.97,111,105.05,3.3820068986625347,3.2007191414819753
newlyn-p001-uk,Newlyn,2.0,2384,197,196,196,1,356,20977,8.263422818791947,8.221476510067115,8.221476510067115,0.04194630872483222,0.0,1.0,112,107.25,3.412475429281116,3.2677499088428545
brest-france,Brest,0.5,4689,172,86,56,86,493,33183,3.6681595222862016,1.8340797611431008,1.1942844956280656,1.8340797611431008,-0.6397952655150352,0.6511627906976744,196,190.0,5.060568717864192,4.905653348949982
brest-france,Brest,1.0,4689,245,147,127,98,493,33183,5.224994668372787,3.1349968010236724,2.708466624013649,2.089997867349115,-0.4265301770100236,0.8639455782312925,196,189.7,5.060568717864192,4.897907580504271
brest-france,Brest,2.0,4689,358,250,222,108,493,33183,7.63489016847942,5.3316272126252935,4.73448496481126,2.3032629558541267,-0.5971422478140331,0.8879999999999999,196,189.0,5.060568717864192,4.8798341207976135
aberdeen-p038-uk,Aberdeen,0.5,10248,245,240,233,5,483,23405,2.390710382513661,2.34192037470726,2.2736143637782984,0.04879000780640125,-0.06830601092896149,0.9708333333333334,148,121.04999999999998,4.168177737176452,3.4091751019270915
aberdeen-p038-uk,Aberdeen,1.0,10248,386,376,373,10,483,23405,3.7665886026541764,3.669008587041374,3.639734582357533,0.0975800156128025,-0.029274004683840893,0.9920212765957447,148,121.25,4.168177737176452,3.4148077745448977
aberdeen-p038-uk,Aberdeen,2.0,10248,742,624,619,118,483,23405,7.240437158469946,6.0889929742388755,6.040202966432474,1.1514441842310694,-0.04879000780640119,0.9919871794871795,148,126.0,4.168177737176452,3.5485837492177907
