station_id,station,terrain_metric,four_neighbour_value,eight_neighbour_value,eight_minus_four,four_neighbour_top20,eight_neighbour_top20,membership_change
cromer-p183-uk,Cromer P183 Uk,connected_reference_land_pct,0.3148273668589218,0.3148273668589218,0.0,False,False,unchanged
avonmouth-p060-uk,Avonmouth P060 Uk,connected_reference_land_pct,0.4416239744886909,0.4416239744886909,0.0,False,False,unchanged
hinkleypoint-p003-uk,Hinkleypoint P003 Uk,connected_reference_land_pct,0.1089115744836246,0.1089115744836246,0.0,False,False,unchanged
mumbles-p932-uk,Mumbles P932 Uk,connected_reference_land_pct,0.1945994287234441,0.1945994287234441,0.0,False,False,unchanged
devonport-p002-uk,Devonport P002 Uk,connected_reference_land_pct,0.9373682611317358,0.9443208926866244,0.0069526315548886775,False,False,unchanged
weymouth-p991-uk,Weymouth P991 Uk,connected_reference_land_pct,3.0426717408501323,4.656639873497204,1.6139681326470714,False,False,unchanged
barmouth-p923-uk,Barmouth P923 Uk,connected_reference_land_pct,5.8864644150122505,6.322552554026013,0.4360881390137621,True,False,left_under_8n
portsmouth-p008-uk,Portsmouth P008 Uk,connected_reference_land_pct,15.008111105282625,15.40051653285012,0.3924054275674944,True,True,unchanged
malin-head-834a-ireland,Malin Head 834a,connected_reference_land_pct,1.1839794584559575,1.1885759712522856,0.004596512796328112,False,False,unchanged
kinlochbervi-p918-uk,Kinlochbervi P918 Uk,connected_reference_land_pct,0.6898978614936632,0.6990340578215161,0.009136196327852897,False,False,unchanged
porterin-p919-uk,Porterin P919 Uk,connected_reference_land_pct,2.170248722730568,2.170248722730568,0.0,False,False,unchanged
workington-p217-uk,Workington P217 Uk,connected_reference_land_pct,0.8188615159616031,0.8188615159616031,0.0,False,False,unchanged
sthelier-p074-uk,Sthelier P074 Uk,connected_reference_land_pct,0.2278825432592459,0.2278825432592459,0.0,False,False,unchanged
gladstone-p234-uk,Gladstone P234 Uk,connected_reference_land_pct,0.2052718278171993,0.2111373851063349,0.005865557289135598,False,False,unchanged
llandudno-p007-uk,Llandudno P007 Uk,connected_reference_land_pct,0.3493546735255928,0.3493546735255928,0.0,False,False,unchanged
portellen-p202-uk,Portellen P202 Uk,connected_reference_land_pct,0.9556467004705635,0.9556467004705635,0.0,False,False,unchanged
saint-malo,Saint Malo France,connected_reference_land_pct,0.3330698954304849,0.3330698954304849,0.0,False,False,unchanged
newport-p057-uk,Newport P057 Uk,connected_reference_land_pct,0.1481765908651031,0.1524843688094212,0.0043077779443181086,False,False,unchanged
portrush-p935-uk,Portrush P935 Uk,connected_reference_land_pct,0.9215061889836662,0.9215061889836662,0.0,False,False,unchanged
bangor-p662-uk,Bangor P662 Uk,connected_reference_land_pct,1.5924545966467245,1.5924545966467245,0.0,False,False,unchanged
stmarys-p231-uk,Stmarys P231 Uk,connected_reference_land_pct,18.217946719371763,18.22563750881284,0.007690789441078039,True,True,unchanged
bournemouth-p988-uk,Bournemouth P988 Uk,connected_reference_land_pct,0.7168904100586826,0.7186226055924627,0.0017321955337801231,False,False,unchanged
concarneau,Concarneau France,connected_reference_land_pct,0.9441382831253974,0.9478919738876944,0.003753690762297035,False,False,unchanged
le-crouesty,Le Crouesty France,connected_reference_land_pct,1.62032858705126,1.651211690450249,0.03088310339898892,False,False,unchanged
morayfirth-p207-uk,Morayfirth P207 Uk,connected_reference_land_pct,3.833986015061957,3.847529405216591,0.013543390154634238,False,False,unchanged
harwich-p022-uk,Harwich P022 Uk,connected_reference_land_pct,22.271616626467065,22.789858703200824,0.5182420767337597,True,True,unchanged
portbury-p341-uk,Portbury P341 Uk,connected_reference_land_pct,0.3741224412326132,0.3741224412326132,0.0,False,False,unchanged
esbjerg-130121-denmark,Esbjerg 130121 Denmark,connected_area_km2,4.925742995340043,5.04102136091395,0.11527836557390714,True,True,unchanged
denhelder-hel-nl,Denhelder Hel Nl,connected_area_km2,20.85450565370344,20.88898120970412,0.034475556000678864,True,True,unchanged
lerwick-p041-uk,Lerwick P041 Uk,connected_area_km2,1.3310213944908726,1.35190723202304,0.02088583753216744,False,False,unchanged
cuxhaven-germany,Cuxhaven Germany,connected_area_km2,28.54984347963728,28.978552431482257,0.42870895184497826,True,True,unchanged
delfzijl-del-nl,Delfzijl Del Nl,connected_area_km2,61.30311153549263,61.48097166812876,0.17786013263612688,True,True,unchanged
portpatrick-p063-uk,Portpatrick P063 Uk,connected_area_km2,0.2479676470429266,0.2487914608965638,0.0008238138536371953,False,False,unchanged
newlyn-p001-uk,Newlyn,connected_area_km2,0.2762932822932256,0.2762932822932256,0.0,False,False,unchanged
