sample,n_sites,top_n,spearman,kendall,top_overlap,top_mismatch_fraction,top_water_sites,top_terrain_sites,n_permutations,spearman_null_p025,spearman_null_p500,spearman_null_p975,kendall_null_p025,kendall_null_p500,kendall_null_p975,overlap_null_p025,overlap_null_p500,overlap_null_p975,spearman_left_p,kendall_left_p,overlap_low_p
baseline 30-station subset,30,6,-0.34371523915461627,-0.25517241379310346,1,0.8333333333333334,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;dunkerque;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk,10000,-0.3588431590656285,0.004671857619577309,0.3673081201334815,-0.25057471264367814,0.0022988505747126436,0.25517241379310346,0.0,1.0,3.0,0.030796920307969204,0.024997500249975,0.6551344865513449
eligible corr>=0.45,47,10,-0.26162874747135806,-0.19620548144235117,3,0.7,avonmouth-p060-uk;boulogne-sur-mer;calais;cuxhaven-germany;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;ilfracombe-p061-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk,10000,-0.2848154145331705,0.0045098436028212,0.2897878061978195,-0.19444444444444445,0.003703703703703704,0.19814814814814816,0.0,2.0,4.0,0.0344965503449655,0.024997500249975,0.8774122587741225
eligible corr>=0.55,46,10,-0.26192605396523033,-0.19526343508355715,3,0.7,avonmouth-p060-uk;boulogne-sur-mer;calais;cuxhaven-germany;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;ilfracombe-p061-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk,10000,-0.29251749990780235,0.0004933855502052843,0.29172037387825184,-0.19922630560928434,0.0,0.19922630560928434,0.0,2.0,5.0,0.037896210378962104,0.028897110288971104,0.8716128387161284
eligible corr>=0.65,45,9,-0.2134457657865991,-0.16270845937784711,2,0.7777777777777778,boulogne-sur-mer;calais;cuxhaven-germany;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk,10000,-0.30199117246858154,0.0008234790346705212,0.2930959519360706,-0.20328614762386246,0.0010111223458038423,0.2012133468149646,0.0,2.0,4.0,0.0812918708129187,0.05979402059794021,0.7514248575142486
