station_id,station,country_or_provider,local_dtm_source,local_dtm_service_url,local_dtm_coverage_id,local_dtm_crs,local_dtm_vertical_datum_note,native_resolution_m,analysis_resolution_m,local_dtm_path,local_dtm_sha256,continuous_elevation_resampling,categorical_mask_resampling,connected_mask_resampling_for_iou,iou_target_grid,local_grid_shape,local_grid_transform,delta_connected_2m_reference_land_pct,local_connected_2m_reference_land_pct,fraction_difference_local_minus_delta_pct_points,delta_below_2m_reference_land_pct,local_below_2m_reference_land_pct,delta_conditional_connectivity_2m_pct,local_conditional_connectivity_2m_pct,delta_connected_2m_area_km2,local_connected_2m_area_km2,area_difference_local_minus_delta_km2,connected_pixel_iou_after_reprojection,local_reference_land_area_km2,local_all_below_2m_area_km2,local_unconnected_2m_area_km2,local_valid_cells,local_ocean_cells_reprojected,local_river_cells_reprojected,local_lake_cells_reprojected,local_clipped_cells_reprojected,local_outside_support_cells_reprojected,marine_seed_status,marine_context_width_km,crosscheck_scope,label
sheerness-p015-uk,Sheerness,England Environment Agency,"Environment Agency LiDAR Composite DTM 2 m WCS, scaleFactor 0.2",https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-2m/wcs,09ea3b37-df3a-4e8b-ac69-fb0842227b04__Lidar_Composite_Elevation_DTM_2m,EPSG:27700,Ordnance Datum Newlyn / EA product native datum,2.0,10.0,data\raw\local_dtm\sheerness-p015-uk_local_dtm_10m.tif,40c81f2a969e0044184d5fb40ebc11728dca5376d2707386e29c90def027cadd,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,local DTM WCS grid,1043x1039,"| 10.00, 0.00, 585540.31|
| 0.00,-10.00, 180231.91|
| 0.00, 0.00, 1.00|",43.29129650805295,9.942407043129982,-33.34888946492297,45.71185250145477,28.63693884454913,94.70475191674896,34.71881927429704,20.64624510408628,4.761894666500626,-15.884350437585653,0.2187567187925523,47.89478690465612,13.7156008356135,8.953706169112873,963974,526817,0,4243,0,73739,resolved_local_ocean,10.0,elevation-product and native-datum sensitivity; vertical datums not harmonized; official DeltaDTM mask seed and fixed-window reference-land mask held constant,Sheerness
newlyn-p001-uk,Newlyn,England Environment Agency,"Environment Agency LiDAR Composite DTM 2 m WCS, scaleFactor 0.2",https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-2m/wcs,09ea3b37-df3a-4e8b-ac69-fb0842227b04__Lidar_Composite_Elevation_DTM_2m,EPSG:27700,Ordnance Datum Newlyn / EA product native datum,2.0,10.0,data\raw\local_dtm\newlyn-p001-uk_local_dtm_10m.tif,fef345c91868dd64e5a2e11180ad066b7a1f8ce92305cf26990d70fd0c9e51c2,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,local DTM WCS grid,1053x1049,"| 10.00, 0.00, 141581.74|
| 0.00,-10.00, 33709.54|
| 0.00, 0.00, 1.00|",0.4461096259513163,0.4171301446051168,-0.0289794813461994,0.4535157785697635,0.4211487394471699,98.3669470901754,99.04580152671755,0.2762932822932256,0.2594436600788279,-0.0168496222143976,0.5279680365296804,62.19729344289768,0.2619431173050208,0.0024994572261929,908730,385114,0,2860,0,94515,resolved_local_ocean,10.0,elevation-product and native-datum sensitivity; vertical datums not harmonized; official DeltaDTM mask seed and fixed-window reference-land mask held constant,Newlyn
lowestoft-p024-uk,Lowestoft P024 Uk,England Environment Agency,"Environment Agency LiDAR Composite DTM 2 m WCS, scaleFactor 0.2",https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-2m/wcs,09ea3b37-df3a-4e8b-ac69-fb0842227b04__Lidar_Composite_Elevation_DTM_2m,EPSG:27700,Ordnance Datum Newlyn / EA product native datum,2.0,10.0,data\raw\local_dtm\lowestoft-p024-uk_local_dtm_10m.tif,d95f97c91d4df295e6113b98fccbdab4d3bedac1a35c3751464e0b8e61ab2819,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,local DTM WCS grid,1057x643,"| 10.00, 0.00, 649567.19|
| 0.00,-10.00, 298024.03|
| 0.00, 0.00, 1.00|",11.569722445010646,12.499920982597208,0.9301985375865628,12.097037825193508,13.334766182237312,95.64095452289432,93.73933379685228,5.469737591198582,5.937435833919718,0.467698242721136,0.7949379028454645,47.49978693614149,6.333985524995372,0.3965496910756538,659813,140022,5456,4117,0,55477,resolved_local_ocean,10.0,elevation-product and native-datum sensitivity; vertical datums not harmonized; official DeltaDTM mask seed and fixed-window reference-land mask held constant,Lowestoft
immingham-p026-uk,Immingham P026 Uk,England Environment Agency,"Environment Agency LiDAR Composite DTM 2 m WCS, scaleFactor 0.2",https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-2m/wcs,09ea3b37-df3a-4e8b-ac69-fb0842227b04__Lidar_Composite_Elevation_DTM_2m,EPSG:27700,Ordnance Datum Newlyn / EA product native datum,2.0,10.0,data\raw\local_dtm\immingham-p026-uk_local_dtm_10m.tif,8567cb377b27480b51f3dbee6ff5501784f3eed237e0ec7e8058ff09789ed6e7,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,local DTM WCS grid,1032x1027,"| 10.00, 0.00, 514917.85|
| 0.00,-10.00, 421630.62|
| 0.00, 0.00, 1.00|",14.0773976261235,0.2151428862818485,-13.862254739841651,20.141508572196,9.647434392751514,69.89246895615557,2.2300528567832867,8.659193623017385,0.1328834297583082,-8.526310193259077,0.0015193777354468,61.76519802947329,5.958756957446487,5.825873527688178,1059864,0,389608,3789,0,48738,resolved_context_ocean_connected_river,50.0,elevation-product and native-datum sensitivity; vertical datums not harmonized; official DeltaDTM mask seed and fixed-window reference-land mask held constant,Immingham
denhelder-hel-nl,Denhelder Hel Nl,Netherlands PDOK/Rijkswaterstaat,"PDOK/Rijkswaterstaat AHN DTM 0.5 m WCS, scaleFactor 0.05",https://service.pdok.nl/rws/ahn/wcs/v1_0,dtm_05m,EPSG:28992,Normaal Amsterdams Peil / AHN product native datum,0.5,10.0,data\raw\local_dtm\denhelder-hel-nl_local_dtm_10m.tif,b950e177da667509c85bb8a4dc77c4dcbac5b56d85507ea706e968568af15e79,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,local DTM WCS grid,1015x1011,"| 10.00, 0.00, 106885.17|
| 0.00,-10.00, 558379.40|
