sample,terrain_metric,n_sites,top_fraction,top_n,observed_overlap,observed_mismatch,random_expected_overlap,random_expected_mismatch,null_overlap_p025,null_overlap_p500,null_overlap_p975,overlap_low_tail_p
all spatial eligible,connected_2m_lowland_pct,74,0.1,8,0,1.0,0.8648648648648649,0.8918918918918919,0.0,1.0,3.0,0.3775622437756224
all spatial eligible,connected_2m_lowland_pct,74,0.15,12,0,1.0,1.945945945945946,0.8378378378378378,0.0,2.0,4.0,0.09719028097190281
all spatial eligible,connected_2m_lowland_pct,74,0.2,15,1,0.9333333333333333,3.0405405405405403,0.7972972972972973,1.0,3.0,6.0,0.13538646135386462
all spatial eligible,connected_2m_lowland_pct,74,0.25,19,3,0.8421052631578947,4.878378378378378,0.7432432432432432,2.0,5.0,8.0,0.20027997200279973
all spatial eligible,connected_2m_lowland_pct,74,0.3,23,6,0.7391304347826086,7.148648648648648,0.6891891891891893,4.0,7.0,11.0,0.3681631836816318
all spatial eligible,connected_2m_lowland_pct,74,0.35,26,8,0.6923076923076923,9.135135135135135,0.6486486486486487,5.0,9.0,13.0,0.37906209379062095
all spatial eligible,connected_2m_lowland_pct,74,0.4,30,11,0.6333333333333333,12.162162162162161,0.5945945945945945,8.0,12.0,16.0,0.3775622437756224
all spatial eligible,connected_2m_area_km2,74,0.1,8,0,1.0,0.8648648648648649,0.8918918918918919,0.0,1.0,3.0,0.38366163383661633
all spatial eligible,connected_2m_area_km2,74,0.15,12,0,1.0,1.945945945945946,0.8378378378378378,0.0,2.0,4.0,0.0964903509649035
all spatial eligible,connected_2m_area_km2,74,0.2,15,1,0.9333333333333333,3.0405405405405403,0.7972972972972973,1.0,3.0,6.0,0.12708729127087293
all spatial eligible,connected_2m_area_km2,74,0.25,19,3,0.8421052631578947,4.878378378378378,0.7432432432432432,2.0,5.0,8.0,0.20437956204379562
all spatial eligible,connected_2m_area_km2,74,0.3,23,5,0.782608695652174,7.148648648648648,0.6891891891891893,4.0,7.0,11.0,0.1837816218378162
all spatial eligible,connected_2m_area_km2,74,0.35,26,8,0.6923076923076923,9.135135135135135,0.6486486486486487,5.0,9.0,13.0,0.37446255374462556
all spatial eligible,connected_2m_area_km2,74,0.4,30,10,0.6666666666666667,12.162162162162161,0.5945945945945945,8.0,12.0,16.0,0.21647835216478353
all spatial eligible,connected_2m_window_pct,74,0.1,8,0,1.0,0.8648648648648649,0.8918918918918919,0.0,1.0,3.0,0.3832616738326167
all spatial eligible,connected_2m_window_pct,74,0.15,12,0,1.0,1.945945945945946,0.8378378378378378,0.0,2.0,4.0,0.10018998100189981
all spatial eligible,connected_2m_window_pct,74,0.2,15,1,0.9333333333333333,3.0405405405405403,0.7972972972972973,1.0,3.0,6.0,0.1336866313368663
all spatial eligible,connected_2m_window_pct,74,0.25,19,3,0.8421052631578947,4.878378378378378,0.7432432432432432,2.0,5.0,8.0,0.20727927207279273
all spatial eligible,connected_2m_window_pct,74,0.3,23,5,0.782608695652174,7.148648648648648,0.6891891891891893,4.0,7.0,11.0,0.18858114188581143
