label,tidal_range_metric,spring_tidal_range_m,tidal_regime,mhws_m,mlws_m,source_status,source,source_url,definition_url,notes,station_id,station
Newlyn,mean spring range = MHWS - MLWS,4.6,macrotidal,5.5,0.9,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,newlyn-p001-uk,Newlyn
Hoek van Holland,spring range context,1.7,mesotidal,,,indicative_context,Port of Rotterdam/Rijkswaterstaat candidate source identified; exact station spring range not yet extracted automatically,https://www.portofrotterdam.com/nl/actuele-informatie/weer-getijde-en-waterdiepte,,Retain as context until HydroMeteoBundel or Rijkswaterstaat station statistics are parsed.,hoekvanholla-hvh-nl,Hoek van Holland
Brest,spring range context,6.1,macrotidal,,,indicative_context,SHOM/REFMAR tidal-prediction definitions identified; exact station spring range not yet extracted automatically,https://refmar.shom.fr/sites/default/files/2025-01/GT-TSH_CatD_Fiche_Prediction_maree.pdf,,Retain as context until SHOM station PMVE/BMVE or harmonic metadata are parsed.,brest,Brest
Aberdeen,mean spring range = MHWS - MLWS,3.5,meso-macrotidal,4.3,0.8,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,aberdeen-p038-uk,Aberdeen
Sheerness,mean spring range = MHWS - MLWS,5.2,macrotidal,5.7,0.5,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,sheerness-p015-uk,Sheerness
Esbjerg 130121 Denmark,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,esbjerg-130121-denmark,Esbjerg 130121 Denmark
Denhelder Hel Nl,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,denhelder-hel-nl,Denhelder Hel Nl
Lerwick P041 Uk,mean spring range = MHWS - MLWS,1.6,mesotidal,2.1,0.5,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,lerwick-p041-uk,Lerwick P041 Uk
Cuxhaven Germany,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,cuxhaven-germany,Cuxhaven Germany
Delfzijl Del Nl,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,delfzijl-del-nl,Delfzijl Del Nl
Portpatrick P063 Uk,mean spring range = MHWS - MLWS,3.4,meso-macrotidal,3.9,0.5,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,portpatrick-p063-uk,Portpatrick P063 Uk
Fishguard P055 Uk,mean spring range = MHWS - MLWS,3.7,meso-macrotidal,4.6,0.9,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,fishguard-p055-uk,Fishguard P055 Uk
Milfordhaven P056 Uk,mean spring range = MHWS - MLWS,6.1,macrotidal,7.0,0.9,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,milfordhaven-p056-uk,Milfordhaven P056 Uk
Tregde 006 Norway,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,tregde-006-norway,Tregde 006 Norway
Lowestoft P024 Uk,mean spring range = MHWS - MLWS,1.8,mesotidal,2.6,0.8,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,lowestoft-p024-uk,Lowestoft P024 Uk
Wick P035 Uk,mean spring range = MHWS - MLWS,2.7,meso-macrotidal,3.4,0.7,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,wick-p035-uk,Wick P035 Uk
Stornoway P042 Uk,mean spring range = MHWS - MLWS,3.9,meso-macrotidal,4.9,1.0,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,stornoway-p042-uk,Stornoway P042 Uk
Le Conquet France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,le-conquet,Le Conquet France
Port Tudy France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,port-tudy,Port Tudy France
Cherbourg France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,cherbourg,Cherbourg France
Saint Nazaire France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,saint-nazaire,Saint Nazaire France
Saint Gildas France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,saint-gildas,Saint Gildas France
Le Havre France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,le-havre,Le Havre France
Dunkerque France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,dunkerque,Dunkerque France
Roscoff France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,roscoff,Roscoff France
Boulogne Sur Mer,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,boulogne-sur-mer,Boulogne Sur Mer
Dieppe France,not available,,not_source_verified,,,missing_or_not_yet_extracted,,,,Non-UK/non-US extended-site tidal metadata not automatically extracted in this run.,dieppe,Dieppe France
Immingham P026 Uk,mean spring range = MHWS - MLWS,6.0,macrotidal,7.2,1.2,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,immingham-p026-uk,Immingham P026 Uk
Millport P049 Uk,mean spring range = MHWS - MLWS,2.8,meso-macrotidal,3.4,0.6,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,millport-p049-uk,Millport P049 Uk
Holyhead P054 Uk,mean spring range = MHWS - MLWS,4.8,macrotidal,5.7,0.9,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,holyhead-p054-uk,Holyhead P054 Uk
