coastal_sector,terrain_metric,terrain_metric_label,n_sites,spearman,kendall,status
Atlantic-Celtic,below_reference_land_pct,lowland_prevalence,12,-0.2867132867132868,-0.1515151515151515,estimated
British-North-Sea,below_reference_land_pct,lowland_prevalence,19,-0.29473684210526313,-0.18128654970760236,estimated
Denmark-Norway,below_reference_land_pct,lowland_prevalence,2,,,insufficient_n_lt4
Dutch-German-Bight,below_reference_land_pct,lowland_prevalence,4,0.7999999999999999,0.6666666666666669,estimated
eastern-Channel-southern-North-Sea,below_reference_land_pct,lowland_prevalence,10,-0.2121212121212121,-0.15555555555555553,estimated
western-English-Channel,below_reference_land_pct,lowland_prevalence,21,-0.7428571428571429,-0.5047619047619049,estimated
Atlantic-Celtic,conditional_connectivity_pct,conditional_connectivity,12,-0.3846153846153847,-0.2727272727272727,estimated
British-North-Sea,conditional_connectivity_pct,conditional_connectivity,19,0.05272415875321528,-0.023599744180159622,estimated
Denmark-Norway,conditional_connectivity_pct,conditional_connectivity,2,,,insufficient_n_lt4
Dutch-German-Bight,conditional_connectivity_pct,conditional_connectivity,4,0.39999999999999997,0.3333333333333334,estimated
eastern-Channel-southern-North-Sea,conditional_connectivity_pct,conditional_connectivity,10,0.01818181818181818,0.022222222222222223,estimated
western-English-Channel,conditional_connectivity_pct,conditional_connectivity,21,0.3224970216983856,0.21583292365085782,estimated
Atlantic-Celtic,connected_reference_land_pct,connected_lowland_share,12,-0.37762237762237766,-0.2424242424242424,estimated
British-North-Sea,connected_reference_land_pct,connected_lowland_share,19,-0.343859649122807,-0.18128654970760236,estimated
Denmark-Norway,connected_reference_land_pct,connected_lowland_share,2,,,insufficient_n_lt4
Dutch-German-Bight,connected_reference_land_pct,connected_lowland_share,4,0.39999999999999997,0.3333333333333334,estimated
eastern-Channel-southern-North-Sea,connected_reference_land_pct,connected_lowland_share,10,-0.309090909090909,-0.24444444444444444,estimated
western-English-Channel,connected_reference_land_pct,connected_lowland_share,21,-0.7376623376623377,-0.5142857142857143,estimated
Atlantic-Celtic,connected_area_km2,connected_area,12,-0.18181818181818185,-0.0909090909090909,estimated
British-North-Sea,connected_area_km2,connected_area,19,-0.37719298245614036,-0.19298245614035084,estimated
Denmark-Norway,connected_area_km2,connected_area,2,,,insufficient_n_lt4
Dutch-German-Bight,connected_area_km2,connected_area,4,0.39999999999999997,0.3333333333333334,estimated
eastern-Channel-southern-North-Sea,connected_area_km2,connected_area,10,-0.23636363636363633,-0.15555555555555553,estimated
western-English-Channel,connected_area_km2,connected_area,21,-0.6844155844155844,-0.46666666666666673,estimated
Atlantic-Celtic,connected_window_pct,connected_window_share,12,-0.18181818181818185,-0.0909090909090909,estimated
British-North-Sea,connected_window_pct,connected_window_share,19,-0.37719298245614036,-0.19298245614035084,estimated
Denmark-Norway,connected_window_pct,connected_window_share,2,,,insufficient_n_lt4
Dutch-German-Bight,connected_window_pct,connected_window_share,4,0.39999999999999997,0.3333333333333334,estimated
eastern-Channel-southern-North-Sea,connected_window_pct,connected_window_share,10,-0.23636363636363633,-0.15555555555555553,estimated
western-English-Channel,connected_window_pct,connected_window_share,21,-0.6844155844155844,-0.46666666666666673,estimated
