station_id,station,lat,lon,coast_rp_rp10_m,match_dist_km,window_width_km,terrain_source,terrain_tiles,mask_outside_support_cells,official_clipped_255_cells,coastal_sector,eta_m,neighbours,seed_rule,seed_resolved,seed_status,elevation_offset_m,window_area_km2,reference_land_area_km2,below_area_km2,connected_area_km2,unconnected_below_area_km2,below_reference_land_pct,conditional_connectivity_pct,connected_reference_land_pct,reference_land_window_pct,below_window_pct,connected_window_pct,below_cells,connected_cells
esbjerg-130121-denmark,Esbjerg 130121 Denmark,55.467,8.4333,3.3989999294281006,1.0961426145407729,10.0,DeltaDTM:DeltaDTM_v1_1_N55E008.tif,DeltaDTM_v1_1_N55E008.tif,0,0,Denmark-Norway,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.4961416723689,60.13010731729512,5.54719370092253,4.925742995340043,0.6214507055824869,9.225318144953652,88.7970253232885,8.191808089328422,59.833249631938564,5.5198076350106415,4.901424983457211,6835.0,6069.0
denhelder-hel-nl,Denhelder Hel Nl,52.965,4.7464,2.635999917984009,0.6271861455373051,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N53E004.tif,0,0,Dutch-German-Bight,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.59431529242602,29.073792795122053,21.209382281332566,20.854505653703438,0.3548766276291282,72.95017348025895,98.3267941379817,71.72956690123473,28.902023648756906,21.08407639107363,20.73129638894577,36894.0,36276.0
lerwick-p041-uk,Lerwick P041 Uk,60.15,-1.1333,1.5080000162124634,0.0940864059903398,10.0,DeltaDTM:DeltaDTM_v1_1_N60W002.tif,DeltaDTM_v1_1_N60W002.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.62130509110366,56.92591873147791,1.4193140861703404,1.3310213944908726,0.08829269167946774,2.4932651379160133,93.77919992905143,2.338164098447598,56.57441898605523,1.4105502655578532,1.3228027536372648,1495.0,1402.0
cuxhaven-germany,Cuxhaven Germany,53.867,8.7167,4.696000099182129,0.5308434347028981,10.0,DeltaDTM:DeltaDTM_v1_1_N53E008.tif,DeltaDTM_v1_1_N53E008.tif,0,0,Denmark-Norway,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.68343992408035,47.97352645201355,29.423253383208035,28.54984347963728,0.8734099035707565,61.332271273906066,97.03156584285402,59.51166318405801,47.64788180478106,29.22352812477845,28.356046933999366,34849.0,33814.0
delfzijl-del-nl,Delfzijl Del Nl,53.326,6.9331,4.093999862670898,0.2941116420316665,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N53E006.tif;DeltaDTM_v1_1_N53E007.tif,326,0,Dutch-German-Bight,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.49533581312915,63.392432558176964,61.492364844138415,61.30311153549263,0.18925330864578171,97.00269000989225,99.69223283390471,96.70414757981261,63.079974851823025,61.189272463831884,61.00095197401563,107886.0,107554.0
portpatrick-p063-uk,Portpatrick P063 Uk,54.843,-5.12,2.88700008392334,0.7785273697399445,10.0,DeltaDTM:DeltaDTM_v1_1_N54W006.tif,DeltaDTM_v1_1_N54W006.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.46929786845766,45.42104078330847,0.24879146089656384,0.24796764704292668,0.0008238138536371675,0.5477449582969285,99.6688737424233,0.5459312309154548,45.20887648958917,0.24762934167441011,0.24680937590266183,302.0,301.0
newlyn-p001-uk,Newlyn,50.102,-5.5417,3.345999956130981,0.898627283055563,10.0,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.54440488425749,61.93394318807579,0.28088020464835695,0.27629328229322564,0.0045869223551313065,0.45351577856976355,98.36694709017539,0.4461096259513163,61.5985974151138,0.2793593586552076,0.2747972725198214,306.0,301.0
fishguard-p055-uk,Fishguard P055 Uk,52.014,-4.9833,2.997999906539917,0.6424302156659428,10.0,DeltaDTM:mosaic(3),DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif;DeltaDTM_v1_1_N52W005.tif,850,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.496212832297,40.6286118200529,0.09220185369308577,0.07223133297574424,0.019970520717341525,0.22693823284303813,78.34043469037205,0.17778439808788474,40.42800288191145,0.09174659531394239,0.07187468158255897,157.0,123.0
hoekvanholla-hvh-nl,Hoek van Holland,51.977,4.12,3.372999906539917,0.4316300697656207,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51E004.tif;DeltaDTM_v1_1_N52E004.tif,0,0,Dutch-German-Bight,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.57929871308197,53.45304071050628,25.729879413188602,1.4109790180695978,24.318900395119005,48.135483166500855,5.483815121754358,2.639660904814097,53.14517141642572,25.581685040961627,1.402852312675826,43793.0,2400.0
milfordhaven-p056-uk,Milfordhaven P056 Uk,51.702,-5.0143,4.375999927520752,0.1860794166112794,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif,326,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.61725213407684,77.70270760413167,0.4453882038989514,0.36671889634278876,0.07866930755616264,0.573195217556703,82.33691263767486,0.4719512455229929,77.22602829640931,0.44265590090400436,0.3644692024128427,753.0,620.0
