station_id,buffer_deg,lowland_max_m,seed_mode,terrain_source,terrain_tiles,coastal_lowland_cells,connected_2m_lowland_pct,bathtub_2m_lowland_pct,sensitivity_type,setting
newlyn-p001-uk,0.03,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,1797,8.848080133555927,8.903728436282693,window_size,buffer=0.03 deg
newlyn-p001-uk,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,2384,8.221476510067115,8.263422818791947,window_size,buffer=0.04 deg
newlyn-p001-uk,0.06,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,3977,6.864470706562736,6.990193613276339,window_size,buffer=0.06 deg
newlyn-p001-uk,0.04,10.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,1727,11.34916039374638,11.407064273306311,lowland_denominator,lowland<=10 m
newlyn-p001-uk,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,2384,8.221476510067115,8.263422818791947,lowland_denominator,lowland<=15 m
newlyn-p001-uk,0.04,20.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,2961,6.619385342789598,6.653157716987504,lowland_denominator,lowland<=20 m
newlyn-p001-uk,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,2384,8.221476510067115,8.263422818791947,boundary_seed,boundary_water_nodata
newlyn-p001-uk,0.04,15.0,boundary_water_plus_edge_lowland,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,2384,8.221476510067115,8.263422818791947,boundary_seed,boundary_water_plus_edge_lowland
hoekvanholla-hvh-nl,0.03,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,23985,31.09443402126329,31.94496560350219,window_size,buffer=0.03 deg
hoekvanholla-hvh-nl,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,40999,3.0976365277201885,34.71548086538696,window_size,buffer=0.04 deg
hoekvanholla-hvh-nl,0.06,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,89238,47.19626168224299,47.98852506779623,window_size,buffer=0.06 deg
hoekvanholla-hvh-nl,0.04,10.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,40860,3.108174253548703,34.833578071463535,lowland_denominator,lowland<=10 m
hoekvanholla-hvh-nl,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,40999,3.0976365277201885,34.71548086538696,lowland_denominator,lowland<=15 m
hoekvanholla-hvh-nl,0.04,20.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,41004,3.0972588040191202,34.71124768315286,lowland_denominator,lowland<=20 m
hoekvanholla-hvh-nl,0.04,15.0,boundary_water_nodata,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,40999,3.0976365277201885,34.71548086538696,boundary_seed,boundary_water_nodata
hoekvanholla-hvh-nl,0.04,15.0,boundary_water_plus_edge_lowland,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N52E004.tif;DeltaDTM_v1_1_N51E004.tif,40999,33.91546135271592,34.71548086538696,boundary_seed,boundary_water_plus_edge_lowland
brest,0.03,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,3826,6.2990067956089915,7.1353894406691065,window_size,buffer=0.03 deg
brest,0.04,15.0,boundary_water_nodata,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,4689,5.3316272126252935,7.63489016847942,window_size,buffer=0.04 deg
