sample,terrain_metric,n_sites,spearman,spearman_two_sided_p,spearman_left_p,spearman_null_p025,spearman_null_p975,kendall,kendall_two_sided_p,kendall_left_p,kendall_null_p025,kendall_null_p975
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,-0.31984578386838186,0.007999200079992,0.0038996100389961006,-0.23495152116654577,0.2366330114135206,-0.20105355575065847,0.0160983901609839,0.008099190080991902,-0.16066725197541704,0.16066725197541704
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,-0.30927205405199065,0.010698930106989302,0.0051994800519948,-0.23373287017597436,0.23648223078978503,-0.18788410886742754,0.0217978202179782,0.0105989401059894,-0.15803336259877085,0.15978928884986832
primary resolved mask-aware match<=6km,mask_connected_2m_conditional_pct,68,-0.0014131848625863967,0.9909009099090091,0.49405059494050596,-0.2440608451872182,0.23555118066331948,0.0026478747282864244,0.9798020197980202,0.5092490750924907,-0.16505085806318714,0.16240298333490072
primary resolved mask-aware match<=6km,mask_connected_2m_area_km2,68,-0.32942703362980497,0.006899310068993101,0.0032996700329967,-0.23671412757185936,0.24542886590067536,-0.2028094820017559,0.014198580141985802,0.006399360063993601,-0.16154521510096576,0.16593503072870938
all resolved mask-aware distance-unrestricted sensitivity,mask_connected_2m_reference_land_pct,74,-0.29946904327022367,0.0105989401059894,0.0046995300469953,-0.23089700089193624,0.23073519578324544,-0.1905469629879916,0.0168983101689831,0.007899210078992101,-0.15495842515365854,0.15644128089675574
all resolved mask-aware distance-unrestricted sensitivity,mask_below_2m_reference_land_pct,74,-0.27895645054375184,0.0163983601639836,0.007799220077992201,-0.227527233628333,0.2295348018189996,-0.1631141317406932,0.0397960203979602,0.019998000199980003,-0.15644128089675574,0.15569985302520714
all resolved mask-aware distance-unrestricted sensitivity,mask_connected_2m_conditional_pct,74,0.019040000069205663,0.8748125187481252,0.5585441455854414,-0.23294328800622396,0.23141564286448457,0.02383180807418158,0.7743225677432257,0.6148385161483851,-0.15937521649608932,0.15788572849145296
all resolved mask-aware distance-unrestricted sensitivity,mask_connected_2m_area_km2,74,-0.30918475505980164,0.0081991800819918,0.0038996100389961006,-0.22643902947629146,0.229534431555593,-0.18758125150179716,0.0183981601839816,0.0086991300869913,-0.15347556941056134,0.15569985302520714
GSSR-qualified primary mask-aware,mask_connected_2m_reference_land_pct,44,-0.15193798449612403,0.32556744325567444,0.16378362163783622,-0.2951409443269909,0.29556377730796335,-0.10359408033826638,0.33456654334566543,0.1680831916808319,-0.20507399577167018,0.2029598308668076
GSSR-qualified primary mask-aware,mask_below_2m_reference_land_pct,44,-0.14982381959126145,0.33496650334966505,0.1663833616638336,-0.30571529245947854,0.2927448907681466,-0.09302325581395349,0.3818618138186181,0.19018098190180982,-0.20930232558139536,0.2029598308668076
GSSR-qualified primary mask-aware,mask_connected_2m_conditional_pct,44,0.01268990895211752,0.9297070292970703,0.529047095290471,-0.3013941500495634,0.2999771102165769,0.035013504023473335,0.7288271172882712,0.630936906309369,-0.20689797832052423,0.2090200088674014
GSSR-qualified primary mask-aware,mask_connected_2m_area_km2,44,-0.13530655391120508,0.37566243375662434,0.18888111188881113,-0.29768498942917554,0.29261804087385457,-0.09725158562367864,0.35726427357264273,0.18038196180381963,-0.20507399577167018,0.2029598308668076
baseline 30-station primary sensitivity,mask_connected_2m_reference_land_pct,30,-0.04872080088987764,0.8042195780421958,0.39666033396660333,-0.36419354838709683,0.36462736373748617,-0.03448275862068966,0.7763223677632237,0.38396160383961603,-0.25057471264367814,0.25517241379310346
baseline 30-station primary sensitivity,mask_below_2m_reference_land_pct,30,-0.03982202447163515,0.8302169783021698,0.4186581341865813,-0.36462736373748617,0.36197997775305873,-0.016091954022988506,0.9159084091590841,0.46165383461653836,-0.25528735632183897,0.25057471264367814
baseline 30-station primary sensitivity,mask_connected_2m_conditional_pct,30,-0.13192436040044492,0.48735126487351266,0.23927607239276072,-0.3526251390433816,0.3632925472747498,-0.06206896551724138,0.6534346565343465,0.3224677532246775,-0.24597701149425288,0.25057471264367814
baseline 30-station primary sensitivity,mask_connected_2m_area_km2,30,-0.01935483870967742,0.921007899210079,0.46835316468353166,-0.3699777530589545,0.3650723025583983,-0.020689655172413793,0.8918108189181082,0.4547545245475452,-0.2597701149425287,0.25517241379310346
