station_id,station,coast_rp_total_rp10_m,coast_rp_etc_rp10_m,coast_rp_tc_rp10_m,etc_match_dist_km,tc_match_dist_km,etc_to_total_ratio,tc_to_total_ratio,tc_minus_etc_m
newlyn-p001-uk,Newlyn,3.345999956130981,3.3459999561309814,1.0080000162124634,0.8996623578778438,1642.6294513198006,1.0000000000000002,0.3012552389205724,-2.337999939918518
hoekvanholla-hvh-nl,Hoek van Holland,3.372999906539917,3.372999906539917,1.0080000162124634,0.4321214007319011,2263.666615151238,1.0,0.2988437723517424,-2.3649998903274536
brest,Brest,4.313000202178955,4.313000202178955,1.0080000162124634,0.8335321122214585,1639.5611922569524,1.0,0.23371202619077444,-3.3050001859664917
aberdeen-p038-uk,Aberdeen,2.822000026702881,2.822000026702881,1.0080000162124634,1.264914899894223,2214.2844287129005,1.0,0.35719348216667907,-1.8140000104904175
sheerness-p015-uk,Sheerness,5.25600004196167,5.25600004196167,1.0080000162124634,0.49333774616357473,2053.969323357022,1.0,0.1917808234712747,-4.2480000257492065
esbjerg-130121-denmark,Esbjerg 130121 Denmark,3.3989999294281006,3.3989999294281006,1.0080000162124634,1.0973617929811752,2585.8975772083445,1.0,0.2965578220479883,-2.390999913215637
denhelder-hel-nl,Denhelder Hel Nl,2.635999917984009,2.635999917984009,1.0080000162124634,0.6278771792486112,2323.870073471336,1.0,0.3823975901271551,-1.6279999017715454
lerwick-p041-uk,Lerwick P041 Uk,1.5080000162124634,1.5080000162124634,1.0080000162124634,0.09419223766963356,2462.793228775265,1.0,0.6684350168272448,-0.5
cuxhaven-germany,Cuxhaven Germany,4.696000099182129,4.696000099182129,1.0080000162124634,0.531452067056292,2562.7203592602104,1.0,0.21465076552873583,-3.6880000829696655
delfzijl-del-nl,Delfzijl Del Nl,4.093999862670898,4.093999862670898,1.0080000162124634,0.29444541995702245,2453.524779821473,1.0,0.24621398388490684,-3.085999846458435
portpatrick-p063-uk,Portpatrick P063 Uk,2.88700008392334,2.88700008392334,1.0080000162124634,0.7794030664411636,1940.90560655707,1.0,0.349151363668346,-1.8790000677108765
fishguard-p055-uk,Fishguard P055 Uk,2.997999906539917,2.997999906539917,1.0080000162124634,0.6431438183621617,1769.7126246276914,1.0,0.3362241653222154,-1.9899998903274536
milfordhaven-p056-uk,Milfordhaven P056 Uk,4.375999927520752,4.375999927520752,1.0080000162124634,0.18628872023739376,1751.130268742259,1.0,0.2303473566974101,-3.3679999113082886
tregde-006-norway,Tregde 006 Norway,0.9990000128746032,0.9990000128746033,1.0080000162124634,0.0353952676219896,2637.0360642058495,1.0000000000000002,1.0090090122341069,0.009000003337860107
lowestoft-p024-uk,Lowestoft P024 Uk,2.378999948501587,2.378999948501587,1.0080000162124634,0.5593082650697725,2144.19667122298,1.0,0.4237074560877364,-1.3709999322891235
wick-p035-uk,Wick P035 Uk,2.559999942779541,2.559999942779541,1.0080000162124634,2.046613574591357,2274.7428444763536,1.0,0.39375001513399216,-1.5519999265670776
stornoway-p042-uk,Stornoway P042 Uk,2.9800000190734863,2.9800000190734863,1.0080000162124634,1.9676488532551055,2159.0840812708725,1.0,0.33825503683247,-1.972000002861023
le-conquet,Le Conquet France,4.026999950408936,4.0269999504089355,1.0080000162124634,0.3747474286817385,1620.7860252385492,0.9999999999999998,0.2503104118762411,-3.018999934196472
port-tudy,Port Tudy France,3.0,3.0,1.0080000162124634,0.30750437927566554,1689.9584898906369,1.0,0.3360000054041545,-1.9919999837875366
cherbourg,Cherbourg France,3.674000024795532,3.6740000247955322,1.0080000162124634,0.18018191321603458,1857.9796923673287,1.0000000000000002,0.2743603727298726,-2.666000008583069
saint-nazaire,Saint Nazaire France,3.275000095367432,3.2750000953674316,1.0080000162124634,0.5139916032959049,1768.6336725128983,0.9999999999999999,0.30778625552967287,-2.2670000791549683
saint-gildas,Saint Gildas France,3.243000030517578,3.243000030517578,1.0080000162124634,0.6963226099669706,1763.6859144966927,1.0,0.3108233138226607,-2.2350000143051147
le-havre,Le Havre France,4.64300012588501,4.64300012588501,1.0080000162124634,1.1137266288605592,1963.126995848681,1.0,0.21710100988212377,-3.6350001096725464
dunkerque,Dunkerque France,4.547999858856201,4.547999858856201,1.0080000162124634,1.002988958513724,2138.4629098445416,1.0,0.22163589434806408,-3.539999842643738
roscoff,Roscoff France,4.85699987411499,4.85699987411499,1.0080000162124634,0.619273097125639,1684.0019399783564,1.0,0.2075355244673821,-3.848999857902527
boulogne-sur-mer,Boulogne Sur Mer,5.7129998207092285,5.7129998207092285,1.0080000162124634,0.8019984501778137,2083.2477729582506,1.0,0.1764397073072772,-4.704999804496765
dieppe,Dieppe France,6.14300012588501,6.14300012588501,1.0080000162124634,0.5374539450448814,2034.606658504416,1.0,0.16408920650432884,-5.135000109672546
immingham-p026-uk,Immingham P026 Uk,4.527999877929688,4.5279998779296875,1.0080000162124634,0.48796841342980046,2090.0841770138677,0.9999999999999998,0.2226148505713621,-3.519999861717224
millport-p049-uk,Millport P049 Uk,2.7170000076293945,2.7170000076293945,1.0080000162124634,0.6648123345092997,2013.3197047513975,1.0,0.3709974285542796,-1.7089999914169312
holyhead-p054-uk,Holyhead P054 Uk,3.315000057220459,3.315000057220459,1.0080000162124634,0.6416473287429895,1861.6735408433308,1.0,0.30407239783206674,-2.3070000410079956
