station_id,full_label,region,gssr_rp10_m,gssr_rp10_bootstrap_p025_m,gssr_rp10_bootstrap_p975_m,coast_rp_rp10_m,nearest3_range_m,within5km_n,within5km_min_rp10_m,within5km_max_rp10_m,spring_tidal_range_m,tidal_regime,tidal_range_metric,source_status,D10_m,match_dist_km
sheerness-p015-uk,Sheerness,Europe,1.3629605897477484,1.2772481924576045,1.4702876816902175,5.25600004196167,0.17100000381469727,3,5.085000038146973,5.25600004196167,5.2,macrotidal,mean spring range = MHWS - MLWS,source_verified,3.8930394522139213,0.4927874549512442
newlyn-p001-uk,Newlyn,Europe,0.6172450697458022,0.5626389319983076,0.6729010454458687,3.3459999561309814,0.01699995994567871,2,3.3459999561309814,3.3480000495910645,4.6,macrotidal,mean spring range = MHWS - MLWS,source_verified,2.7287548863851794,0.898627283055563
aberdeen-p038-uk,Aberdeen,Europe,0.8384479950554402,0.7886133232637547,0.88216608166371,2.822000026702881,0.006000041961669922,3,2.815999984741211,2.822000026702881,3.5,meso-macrotidal,mean spring range = MHWS - MLWS,source_verified,1.9835520316474406,1.2635678555080092
hoekvanholla-hvh-nl,Hoek van Holland,Europe,1.5054906522661844,1.4297770248858417,1.621889074795626,3.372999906539917,0.0820000171661377,2,3.359999895095825,3.372999906539917,1.7,mesotidal,spring range context,indicative_context,1.8675092542737326,0.4316300697656207
brest-france,Brest,Europe,0.686821597457899,0.6453259216417127,0.8470015660773809,4.313000202178955,0.08800029754638672,3,4.232999801635742,4.321000099182129,6.1,macrotidal,spring range context,indicative_context,3.6261786047210562,0.8326028065721115
newyork-the-battery,New York-The Battery,Comparison,1.2948860061716814,1.0667658779424616,1.4588438557654877,1.3109999895095825,0.7400001287460327,1,1.3109999895095825,1.3109999895095825,1.38,mesotidal,NOAA MN mean range of tide,source_verified,0.01611398333790115,0.8850563186007949
hong-kong-b,Hong Kong,Comparison,1.0263713464643704,0.7510621196323842,1.1427822497403324,1.8229999542236328,0.22200000286102295,1,1.8229999542236328,1.8229999542236328,1.9,mesotidal,spring range context,official_general_context,0.7966286077592624,4.761150213622031
charleston-sc,Charleston,Comparison,0.8434353138020511,0.7306845615134077,1.2585560031247844,1.3459999561309814,0.11499989032745361,2,1.3459999561309814,1.3559999465942383,1.591,mesotidal,NOAA MN mean range of tide,source_verified,0.5025646423289304,1.8295311363421696
