sample,terrain_metric,n_sites,top_fraction,top_n,observed_overlap,observed_mismatch,random_expected_overlap,random_expected_mismatch,null_overlap_p025,null_overlap_p500,null_overlap_p975,overlap_low_tail_p
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,0.1,7,0,1.0,0.7205882352941176,0.8970588235294118,0.0,1.0,2.0,0.46025397460253975
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,0.15,11,0,1.0,1.7794117647058822,0.8382352941176471,0.0,2.0,4.0,0.12738726127387262
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,0.2,14,1,0.9285714285714286,2.8823529411764706,0.7941176470588236,0.0,3.0,6.0,0.15208479152084792
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,0.25,17,2,0.8823529411764706,4.25,0.75,1.0,4.0,7.0,0.1287871212878712
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,0.3,21,4,0.8095238095238095,6.485294117647059,0.6911764705882353,3.0,6.0,10.0,0.12788721127887212
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,0.35,24,6,0.75,8.470588235294118,0.6470588235294117,5.0,8.0,12.0,0.1511848815118488
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,0.4,28,9,0.6785714285714286,11.529411764705882,0.5882352941176471,8.0,12.0,15.0,0.15608439156084392
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,0.1,7,0,1.0,0.7205882352941176,0.8970588235294118,0.0,1.0,2.0,0.44615538446155384
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,0.15,11,0,1.0,1.7794117647058822,0.8382352941176471,0.0,2.0,4.0,0.11588841115888411
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,0.2,14,1,0.9285714285714286,2.8823529411764706,0.7941176470588236,1.0,3.0,6.0,0.15158484151584842
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,0.25,17,2,0.8823529411764706,4.25,0.75,1.0,4.0,7.0,0.12298770122987701
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,0.3,21,4,0.8095238095238095,6.485294117647059,0.6911764705882353,3.0,6.0,10.0,0.12068793120687932
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,0.35,24,6,0.75,8.470588235294118,0.6470588235294117,5.0,8.0,12.0,0.1424857514248575
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,0.4,28,9,0.6785714285714286,11.529411764705882,0.5882352941176471,8.0,12.0,15.0,0.1503849615038496
