label,tidal_range_metric,spring_tidal_range_m,tidal_regime,mhws_m,mlws_m,source_status,source,source_url,definition_url,notes,station_id,station,lat,lon,coast_rp_rp10_m,match_dist_km,window_width_km,terrain_source,terrain_tiles,mask_outside_support_cells,official_clipped_255_cells,coastal_sector,eta_m,neighbours,seed_rule,seed_resolved,seed_status,elevation_offset_m,window_area_km2,reference_land_area_km2,below_area_km2,connected_area_km2,unconnected_below_area_km2,below_reference_land_pct,conditional_connectivity_pct,connected_reference_land_pct,reference_land_window_pct,below_window_pct,connected_window_pct,below_cells,connected_cells,coast_rp_rp10_m_recomputed,plotted_count,coordinate_duplicate_count
Newlyn,mean spring range = MHWS - MLWS,4.6,macrotidal,5.5,0.9,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,newlyn-p001-uk,Newlyn,50.102,-5.5417,3.345999956130981,0.898627283055563,10.0,DeltaDTM:DeltaDTM_v1_1_N50W006.tif,DeltaDTM_v1_1_N50W006.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.54440488425747,61.93394318807579,0.2808802046483569,0.2762932822932256,0.0045869223551313,0.4535157785697635,98.3669470901754,0.4461096259513163,61.5985974151138,0.2793593586552076,0.2747972725198214,306.0,301.0,3.3459999561309814,13,1
Aberdeen,mean spring range = MHWS - MLWS,3.5,meso-macrotidal,4.3,0.8,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,aberdeen-p038-uk,Aberdeen,57.143,-2.0745,2.822000026702881,1.2635678555080092,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N57W002.tif;DeltaDTM_v1_1_N57W003.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.56937551929892,53.28492089218125,0.6232663150400612,0.5234240484859856,0.0998422665540756,1.1696861036937676,83.98080176246037,0.9823117679861098,52.98324725299309,0.61973768040397,0.5204606728273283,1204.0,1011.0,2.822000026702881,13,1
Sheerness,mean spring range = MHWS - MLWS,5.2,macrotidal,5.7,0.5,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,sheerness-p015-uk,Sheerness,51.442,0.74306,5.25600004196167,0.4927874549512442,10.0,DeltaDTM:DeltaDTM_v1_1_N51E000.tif,DeltaDTM_v1_1_N51E000.tif,0,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.61250241371246,47.6914455547565,21.8006432478019,20.36433158513328,1.436311662668622,45.71185250145477,93.41160879363758,42.70017683098357,47.40111259597956,21.667926673922675,20.2403588983369,24432.0,22822.0,5.25600004196167,13,1
Lerwick P041 Uk,mean spring range = MHWS - MLWS,1.6,mesotidal,2.1,0.5,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,lerwick-p041-uk,Lerwick P041 Uk,60.15,-1.1333,1.5080000162124634,0.0940864059903398,10.0,DeltaDTM:DeltaDTM_v1_1_N60W002.tif,DeltaDTM_v1_1_N60W002.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.62130509110366,56.92591873147791,1.4193140861703404,1.3310213944908726,0.0882926916794677,2.4932651379160133,93.77919992905144,2.338164098447598,56.57441898605523,1.4105502655578532,1.3228027536372648,1495.0,1402.0,1.5080000162124634,13,1
Portpatrick P063 Uk,mean spring range = MHWS - MLWS,3.4,meso-macrotidal,3.9,0.5,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,portpatrick-p063-uk,Portpatrick P063 Uk,54.843,-5.12,2.88700008392334,0.7785273697399445,10.0,DeltaDTM:DeltaDTM_v1_1_N54W006.tif,DeltaDTM_v1_1_N54W006.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.46929786845766,45.42104078330847,0.2487914608965638,0.2479676470429266,0.0008238138536371,0.5477449582969285,99.6688737424233,0.5459312309154548,45.20887648958917,0.2476293416744101,0.2468093759026618,302.0,301.0,2.88700008392334,13,1
Fishguard P055 Uk,mean spring range = MHWS - MLWS,3.7,meso-macrotidal,4.6,0.9,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,fishguard-p055-uk,Fishguard P055 Uk,52.014,-4.9833,2.997999906539917,0.6424302156659428,10.0,DeltaDTM:mosaic(3),DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif;DeltaDTM_v1_1_N52W005.tif,850,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.496212832297,40.6286118200529,0.0922018536930857,0.0722313329757442,0.0199705207173415,0.2269382328430381,78.34043469037205,0.1777843980878847,40.42800288191145,0.0917465953139423,0.0718746815825589,157.0,123.0,2.997999906539917,13,1
Milfordhaven P056 Uk,mean spring range = MHWS - MLWS,6.1,macrotidal,7.0,0.9,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,milfordhaven-p056-uk,Milfordhaven P056 Uk,51.702,-5.0143,4.375999927520752,0.1860794166112794,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif,326,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.61725213407684,77.70270760413167,0.4453882038989514,0.3667188963427887,0.0786693075561626,0.573195217556703,82.33691263767486,0.4719512455229929,77.22602829640931,0.4426559009040043,0.3644692024128427,753.0,620.0,4.375999927520752,13,1
Lowestoft P024 Uk,mean spring range = MHWS - MLWS,1.8,mesotidal,2.6,0.8,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,lowestoft-p024-uk,Lowestoft P024 Uk,52.473,1.7508,2.378999948501587,0.558679556824671,10.0,DeltaDTM:DeltaDTM_v1_1_N52E001.tif,DeltaDTM_v1_1_N52E001.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.59878908870212,47.27630776965928,5.71903283325058,0.6695068487931946,5.049525984457386,12.097037825193508,11.706644607820175,1.4161572262689828,46.99490739195061,5.684991723118926,0.6655217770095251,6562.0,768.0,2.378999948501587,13,1
Wick P035 Uk,mean spring range = MHWS - MLWS,2.7,meso-macrotidal,3.4,0.7,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,wick-p035-uk,Wick P035 Uk,58.441,-3.0863,2.559999942779541,2.044426816988848,10.0,DeltaDTM:DeltaDTM_v1_1_N58W004.tif,DeltaDTM_v1_1_N58W004.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.5973544660625,55.68345906178583,0.8797974378350306,0.8640743083235205,0.0157231295115101,1.579997817410761,98.2128693679535,1.551761192430147,55.352806599472935,0.8745731361472721,0.8589433717315343,1175.0,1154.0,2.559999942779541,13,1
Stornoway P042 Uk,mean spring range = MHWS - MLWS,3.9,meso-macrotidal,4.9,1.0,source_verified,National Tidal and Sea Level Facility highest/lowest predicted tides table,https://ntslf.org/tides/uk-network/predictions-hilo,https://ntslf.org/tides/definitions,Values parsed from the NTSLF AJAX table; heights are given relative to chart datum.,stornoway-p042-uk,Stornoway P042 Uk,58.208,-6.3882,2.9800000190734863,1.96547346956443,10.0,DeltaDTM:DeltaDTM_v1_1_N58W007.tif,DeltaDTM_v1_1_N58W007.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.52536391210782,70.28727708840731,1.590244682845599,1.342972594491389,0.2472720883542098,2.262492941425786,84.45068919131747,1.9106908819389867,69.91994294082981,1.5819337736852117,1.3359539744273774,2110.0,1782.0,2.9800000190734863,13,1
