pressure,surge,q25,q75,n,station_id
984.4,0.2994391103904028,0.2302344774608439,0.3735419687536188,442,newlyn-p001-uk
992.5,0.23915577375718938,0.18811724462882023,0.29288915841028695,436,newlyn-p001-uk
996.7,0.2106416469183038,0.1547978109978743,0.2534203679747961,437,newlyn-p001-uk
999.6,0.1849674552060539,0.1340343204264546,0.2289901739105301,441,newlyn-p001-uk
1002.2,0.1633147882587559,0.11052107476564274,0.21297965302445285,435,newlyn-p001-uk
1004.2,0.1520228671772327,0.11396310510343455,0.18553461251995484,439,newlyn-p001-uk
1005.9,0.1471329434521206,0.10214496121226535,0.1793532931046091,431,newlyn-p001-uk
1007.3,0.1327125885717683,0.0968260986599565,0.1677875978892255,433,newlyn-p001-uk
1008.7,0.11605690503328445,0.07908803151873176,0.14815579382377445,456,newlyn-p001-uk
1009.9,0.1119166966050974,0.08204642066882455,0.14444112930981884,407,newlyn-p001-uk
1011.2,0.0977751891192882,0.06556312692421953,0.12721391706299393,460,newlyn-p001-uk
1012.4,0.0978435422293174,0.064287120756912,0.12498501127190906,419,newlyn-p001-uk
1013.6,0.08354536406561644,0.050032800144650474,0.10915639874642415,456,newlyn-p001-uk
1014.7,0.0736451016520852,0.04483087495462435,0.097174536711013,415,newlyn-p001-uk
1015.7,0.0706355250122852,0.0440819053552557,0.0949044805897604,437,newlyn-p001-uk
1016.8,0.0596645231457868,0.032639148604541,0.0872888794906656,445,newlyn-p001-uk
1017.8,0.0559362014504709,0.029043111037397477,0.07792763435972616,454,newlyn-p001-uk
1018.7,0.042956641567286,0.013444752686187299,0.0636236852950481,407,newlyn-p001-uk
1019.7,0.04014177325039705,0.01324398990405935,0.062109808230607425,432,newlyn-p001-uk
1020.8,0.027916591773602548,0.00405610383154955,0.05059531292580195,436,newlyn-p001-uk
1022.0,0.0244825702607994,0.0037792023651391,0.0422871555008944,429,newlyn-p001-uk
1023.3,0.01164739498790815,-0.013518221153382325,0.03101280034731235,452,newlyn-p001-uk
1024.8,0.0031102388688911,-0.0177601553762389,0.0216124586078919,417,newlyn-p001-uk
1026.5,-0.015125036313921699,-0.03288443196487175,0.004275104816668575,444,newlyn-p001-uk
1029.1,-0.028953734570137002,-0.05259797497481385,-0.009106798716825225,430,newlyn-p001-uk
1033.5,-0.0635047913522331,-0.0939534093709959,-0.042079534970913,433,newlyn-p001-uk
