setting,terrain_metric,n_sites,spearman,kendall,permutation_two_sided_p,top_n,top_overlap,top_overlap_expected_independent,top_mismatch_fraction,top_water_sites,top_terrain_sites,rank_stability_n,terrain_rank_spearman_vs_primary,top20_jaccard_vs_primary,top20_membership_changes_vs_primary
"primary:10km,2m,4n,adaptive,match<=6km",connected_reference_land_pct,68,-0.33316791999083856,-0.21071115013169445,0.006399360063993601,14,1,2.8823529411764706,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;holyhead-p054-uk;portsmouth-p008-uk;sheerness-p015-uk;stmarys-p231-uk;tregde-006-norway,68,1.0,1.0,0
"primary:10km,2m,4n,adaptive,match<=6km",below_reference_land_pct,68,-0.30927205405199065,-0.18788410886742754,0.008599140085991401,14,1,2.8823529411764706,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;hoekvanholla-hvh-nl;immingham-p026-uk;lowestoft-p024-uk;portsmouth-p008-uk;saint-nazaire;sheerness-p015-uk;stmarys-p231-uk,68,1.0,1.0,0
"primary:10km,2m,4n,adaptive,match<=6km",conditional_connectivity_pct,68,0.10814474240561471,0.07172738279171438,0.37876212378762125,14,5,2.8823529411764706,0.6428571428571428,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,bangor-p662-uk;boulogne-sur-mer;cromer-p183-uk;delfzijl-del-nl;hinkleypoint-p003-uk;ilfracombe-p061-uk;malin-head-834a-ireland;port-tudy;porterin-p919-uk;portpatrick-p063-uk;saint-gildas;sthelier-p074-uk;tobermory-p223-uk;workington-p217-uk,68,1.0,1.0,0
"primary:10km,2m,4n,adaptive,match<=6km",connected_area_km2,68,-0.34095507119135776,-0.2080772607550483,0.0047995200479952005,14,1,2.8823529411764706,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;holyhead-p054-uk;portsmouth-p008-uk;sheerness-p015-uk;stmarys-p231-uk;tregde-006-norway,68,1.0,1.0,0
window:5km,connected_reference_land_pct,68,-0.41042867503912656,-0.27304653204565404,0.0006999300069993001,14,1,2.8823529411764706,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;delfzijl-del-nl;denhelder-hel-nl;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;le-havre;morayfirth-p207-uk;portsmouth-p008-uk;saint-gildas;sheerness-p015-uk;stmarys-p231-uk;tregde-006-norway;wick-p035-uk,68,0.8950261480322174,0.5555555555555556,8
window:5km,below_reference_land_pct,68,-0.33297705844180625,-0.2168568920105355,0.0059994000599940004,14,1,2.8823529411764706,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;felixstowe-p204-uk;harwich-p022-uk;hoekvanholla-hvh-nl;immingham-p026-uk;portsmouth-p008-uk;saint-gildas;sheerness-p015-uk;stmarys-p231-uk;weymouth-p991-uk,68,0.9324731839523609,0.6470588235294118,6
window:5km,conditional_connectivity_pct,68,-0.011657343597042012,-0.029878400364327713,0.9261073892610739,14,5,2.8823529411764706,0.6428571428571428,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,cromer-p183-uk;heysham-p050-uk;ilfracombe-p061-uk;llandudno-p007-uk;malin-head-834a-ireland;mumbles-p932-uk;newlyn-p001-uk;port-tudy;portellen-p202-uk;roscoff;sthelier-p074-uk;tobermory-p223-uk;ullapool-p043-uk;workington-p217-uk,68,0.7402357876316447,0.3333333333333333,14
window:5km,connected_area_km2,68,-0.42470511890674495,-0.27919227392449514,0.00019998000199980003,14,1,2.8823529411764706,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;delfzijl-del-nl;denhelder-hel-nl;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;le-havre;morayfirth-p207-uk;portsmouth-p008-uk;sheerness-p015-uk;stmarys-p231-uk;stornoway-p042-uk;tregde-006-norway;wick-p035-uk,68,0.8980799328167346,0.5555555555555556,8
window:20km,connected_reference_land_pct,68,-0.3879833568729244,-0.26690079016681295,0.0013998600139986002,14,1,2.8823529411764706,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;hoekvanholla-hvh-nl;port-tudy;portsmouth-p008-uk;sheerness-p015-uk;stmarys-p231-uk;tregde-006-norway,68,0.9104477611940298,0.75,4
window:20km,below_reference_land_pct,68,-0.3165247929152193,-0.21246707638279191,0.0098990100989901,14,1,2.8823529411764706,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;hoekvanholla-hvh-nl;immingham-p026-uk;lowestoft-p024-uk;portsmouth-p008-uk;saint-nazaire;sheerness-p015-uk;stmarys-p231-uk,68,0.9159064014963545,1.0,0
