sample,terrain_metric,n_sites,n_coastal_sectors,coastal_sectors,n_bootstrap,spearman,spearman_block_p025,spearman_block_p500,spearman_block_p975,kendall,kendall_block_p025,kendall_block_p500,kendall_block_p975,interpretation
primary resolved mask-aware match<=6km,mask_connected_2m_reference_land_pct,68,6,Atlantic-Celtic;British-North-Sea;Denmark-Norway;Dutch-German-Bight;eastern-Channel-southern-North-Sea;western-English-Channel,2000,-0.31984578386838186,-0.6373425190571875,-0.3286813068676029,0.14416189972600105,-0.20105355575065847,-0.4308300395256917,-0.20867361306674176,0.09843856076035304,geographic block-resampling interval; not a measurement-error interval
primary resolved mask-aware match<=6km,mask_below_2m_reference_land_pct,68,6,Atlantic-Celtic;British-North-Sea;Denmark-Norway;Dutch-German-Bight;eastern-Channel-southern-North-Sea;western-English-Channel,2000,-0.30927205405199065,-0.6341750153342876,-0.3154330591983404,0.20914560770156437,-0.18788410886742754,-0.41369435042957564,-0.1902718168812589,0.16259477674810444,geographic block-resampling interval; not a measurement-error interval
primary resolved mask-aware match<=6km,mask_connected_2m_conditional_pct,68,6,Atlantic-Celtic;British-North-Sea;Denmark-Norway;Dutch-German-Bight;eastern-Channel-southern-North-Sea;western-English-Channel,2000,-0.0014131848625863967,-0.29486500930656234,-0.001080447414509455,0.2283762890235243,0.0026478747282864244,-0.20908445138357062,-0.0007307329749900863,0.16485146620782182,geographic block-resampling interval; not a measurement-error interval
primary resolved mask-aware match<=6km,mask_connected_2m_area_km2,68,6,Atlantic-Celtic;British-North-Sea;Denmark-Norway;Dutch-German-Bight;eastern-Channel-southern-North-Sea;western-English-Channel,2000,-0.32942703362980497,-0.6128104904803934,-0.32942703362980497,0.24100952204862727,-0.2028094820017559,-0.40982735723771585,-0.20087336244541487,0.19228375855631613,geographic block-resampling interval; not a measurement-error interval
