sample,terrain_metric,n_sites,top_n,top_overlap,top_mismatch,random_expected_mismatch,spearman,kendall,top_water_sites,top_terrain_sites
all spatial eligible,connected_2m_lowland_pct,74,15,1,0.9333333333333333,0.7972972972972973,-0.3302157165555344,-0.22984264018006767,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk;llandudno-p007-uk,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;felixstowe-p204-uk;sheerness-p015-uk;barmouth-p923-uk;harwich-p022-uk;calais;dunkerque;stmarys-p231-uk;portpatrick-p063-uk;porterin-p919-uk;cromer-p183-uk;newhaven-p011-uk
all spatial eligible,connected_2m_area_km2,74,15,1,0.9333333333333333,0.7972972972972973,-0.2991432114724024,-0.17497697768547088,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk;llandudno-p007-uk,delfzijl-del-nl;cuxhaven-germany;hoekvanholla-hvh-nl;denhelder-hel-nl;sheerness-p015-uk;calais;dunkerque;harwich-p022-uk;felixstowe-p204-uk;portsmouth-p008-uk;cordemais;immingham-p026-uk;paimboeuf;lowestoft-p024-uk;le-pellerin
all spatial eligible,connected_2m_window_pct,74,15,1,0.9333333333333333,0.7972972972972973,-0.2991432114724024,-0.17497697768547088,avonmouth-p060-uk;portbury-p341-uk;newport-p057-uk;hinkleypoint-p003-uk;saint-malo;heysham-p050-uk;sthelier-p074-uk;dieppe;mumbles-p932-uk;ilfracombe-p061-uk;boulogne-sur-mer;gladstone-p234-uk;workington-p217-uk;sheerness-p015-uk;llandudno-p007-uk,delfzijl-del-nl;cuxhaven-germany;hoekvanholla-hvh-nl;denhelder-hel-nl;sheerness-p015-uk;calais;dunkerque;harwich-p022-uk;felixstowe-p204-uk;portsmouth-p008-uk;cordemais;immingham-p026-uk;paimboeuf;lowestoft-p024-uk;le-pellerin
GSSR-qualified corr>=0.55,connected_2m_lowland_pct,46,10,3,0.7,0.782608695652174,-0.241450553631711,-0.17399712037148657,avonmouth-p060-uk;hinkleypoint-p003-uk;heysham-p050-uk;dieppe;ilfracombe-p061-uk;boulogne-sur-mer;sheerness-p015-uk;roscoff;calais;cuxhaven-germany,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;felixstowe-p204-uk;sheerness-p015-uk;calais;dunkerque;portpatrick-p063-uk;cromer-p183-uk
GSSR-qualified corr>=0.55,connected_2m_area_km2,46,10,3,0.7,0.782608695652174,-0.14443861982259698,-0.0966650668730481,avonmouth-p060-uk;hinkleypoint-p003-uk;heysham-p050-uk;dieppe;ilfracombe-p061-uk;boulogne-sur-mer;sheerness-p015-uk;roscoff;calais;cuxhaven-germany,delfzijl-del-nl;cuxhaven-germany;hoekvanholla-hvh-nl;denhelder-hel-nl;sheerness-p015-uk;calais;dunkerque;felixstowe-p204-uk;cordemais;immingham-p026-uk
GSSR-qualified corr>=0.55,connected_2m_window_pct,46,10,3,0.7,0.782608695652174,-0.14443861982259698,-0.0966650668730481,avonmouth-p060-uk;hinkleypoint-p003-uk;heysham-p050-uk;dieppe;ilfracombe-p061-uk;boulogne-sur-mer;sheerness-p015-uk;roscoff;calais;cuxhaven-germany,delfzijl-del-nl;cuxhaven-germany;hoekvanholla-hvh-nl;denhelder-hel-nl;sheerness-p015-uk;calais;dunkerque;felixstowe-p204-uk;cordemais;immingham-p026-uk
baseline 30-station subset,connected_2m_lowland_pct,30,6,2,0.6666666666666667,0.8,-0.260511679644049,-0.19540229885057472,dieppe;boulogne-sur-mer;sheerness-p015-uk;roscoff;cuxhaven-germany;le-havre,delfzijl-del-nl;denhelder-hel-nl;cuxhaven-germany;hoekvanholla-hvh-nl;sheerness-p015-uk;dunkerque
baseline 30-station subset,connected_2m_area_km2,30,6,2,0.6666666666666667,0.8,-0.016240266963292546,-0.011494252873563218,dieppe;boulogne-sur-mer;sheerness-p015-uk;roscoff;cuxhaven-germany;le-havre,delfzijl-del-nl;cuxhaven-germany;hoekvanholla-hvh-nl;denhelder-hel-nl;sheerness-p015-uk;dunkerque
baseline 30-station subset,connected_2m_window_pct,30,6,2,0.6666666666666667,0.8,-0.016240266963292546,-0.011494252873563218,dieppe;boulogne-sur-mer;sheerness-p015-uk;roscoff;cuxhaven-germany;le-havre,delfzijl-del-nl;cuxhaven-germany;hoekvanholla-hvh-nl;denhelder-hel-nl;sheerness-p015-uk;dunkerque
