setting,terrain_metric,n_sites,spearman,kendall,permutation_two_sided_p,top_n,top_overlap,top_overlap_expected_independent,top_mismatch_fraction,top_water_sites,top_terrain_sites,omitted_sector,omitted_n
omit-sector:Atlantic-Celtic,connected_reference_land_pct,56,-0.3762816131237184,-0.23766233766233766,0.0046995300469953,12,0,2.5714285714285716,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk,barmouth-p923-uk;calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;portsmouth-p008-uk;sheerness-p015-uk;tregde-006-norway,Atlantic-Celtic,12
omit-sector:British-North-Sea,connected_reference_land_pct,49,-0.35918367346938773,-0.22108843537414963,0.013798620137986202,10,0,2.0408163265306123,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;portsmouth-p008-uk;sheerness-p015-uk;stmarys-p231-uk,British-North-Sea,19
omit-sector:Denmark-Norway,connected_reference_land_pct,66,-0.37075461851581254,-0.23916083916083916,0.0022997700229977,14,1,2.9696969696969697,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;calais;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;holyhead-p054-uk;morayfirth-p207-uk;portsmouth-p008-uk;saint-gildas;sheerness-p015-uk;stmarys-p231-uk;tregde-006-norway,Denmark-Norway,2
omit-sector:Dutch-German-Bight,connected_reference_land_pct,64,-0.3268315018315018,-0.20238095238095236,0.008999100089991,13,0,2.640625,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;calais;cuxhaven-germany;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;holyhead-p054-uk;morayfirth-p207-uk;portsmouth-p008-uk;saint-gildas;sheerness-p015-uk;stmarys-p231-uk,Dutch-German-Bight,4
omit-sector:eastern-Channel-southern-North-Sea,connected_reference_land_pct,58,-0.48217416715371136,-0.32002419842710217,0.00019998000199980003,12,0,2.4827586206896552,1.0,avonmouth-p060-uk;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;llandudno-p007-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;esbjerg-130121-denmark;holyhead-p054-uk;morayfirth-p207-uk;portsmouth-p008-uk;saint-gildas;stmarys-p231-uk;tregde-006-norway;weymouth-p991-uk,eastern-Channel-southern-North-Sea,10
omit-sector:western-English-Channel,connected_reference_land_pct,47,-0.03122109158186864,-0.006475485661424608,0.8416158384161584,10,3,2.127659574468085,0.7,boulogne-sur-mer;calais;cuxhaven-germany;dieppe;gladstone-p234-uk;heysham-p050-uk;le-havre;llandudno-p007-uk;sheerness-p015-uk;workington-p217-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;sheerness-p015-uk;stmarys-p231-uk,western-English-Channel,21
omit-sector:Atlantic-Celtic,below_reference_land_pct,56,-0.3875598086124402,-0.24415584415584415,0.0030996900309969004,12,0,2.5714285714285716,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;hoekvanholla-hvh-nl;immingham-p026-uk;lowestoft-p024-uk;portsmouth-p008-uk;sheerness-p015-uk,Atlantic-Celtic,12
omit-sector:British-North-Sea,below_reference_land_pct,49,-0.35163265306122443,-0.2074829931972789,0.014098590140985901,10,0,2.0408163265306123,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;hoekvanholla-hvh-nl;sheerness-p015-uk;stmarys-p231-uk,British-North-Sea,19
omit-sector:Denmark-Norway,below_reference_land_pct,66,-0.34395157081724254,-0.21305361305361303,0.006399360063993601,14,1,2.9696969696969697,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,calais;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;hoekvanholla-hvh-nl;holyhead-p054-uk;immingham-p026-uk;lowestoft-p024-uk;portsmouth-p008-uk;saint-nazaire;sheerness-p015-uk;stmarys-p231-uk,Denmark-Norway,2
omit-sector:Dutch-German-Bight,below_reference_land_pct,64,-0.3048534798534799,-0.17857142857142855,0.0160983901609839,13,0,2.640625,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk;workington-p217-uk,calais;cuxhaven-germany;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;holyhead-p054-uk;immingham-p026-uk;lowestoft-p024-uk;portsmouth-p008-uk;saint-nazaire;sheerness-p015-uk;stmarys-p231-uk,Dutch-German-Bight,4
omit-sector:eastern-Channel-southern-North-Sea,below_reference_land_pct,58,-0.4260666277030977,-0.2728372655777374,0.0010998900109989002,12,0,2.4827586206896552,1.0,avonmouth-p060-uk;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;llandudno-p007-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;esbjerg-130121-denmark;hoekvanholla-hvh-nl;holyhead-p054-uk;immingham-p026-uk;lowestoft-p024-uk;portsmouth-p008-uk;saint-nazaire;stmarys-p231-uk,eastern-Channel-southern-North-Sea,10
omit-sector:western-English-Channel,below_reference_land_pct,47,0.014801110083256245,0.024976873265494914,0.9202079792020798,10,3,2.127659574468085,0.7,boulogne-sur-mer;calais;cuxhaven-germany;dieppe;gladstone-p234-uk;heysham-p050-uk;le-havre;llandudno-p007-uk;sheerness-p015-uk;workington-p217-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;hoekvanholla-hvh-nl;immingham-p026-uk;sheerness-p015-uk,western-English-Channel,21
omit-sector:Atlantic-Celtic,conditional_connectivity_pct,56,0.2727785517110346,0.18678863950706415,0.04229577042295771,12,5,2.5714285714285716,0.5833333333333333,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk,boulogne-sur-mer;concarneau;cromer-p183-uk;delfzijl-del-nl;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;port-tudy;porterin-p919-uk;saint-gildas;sthelier-p074-uk;workington-p217-uk,Atlantic-Celtic,12
omit-sector:British-North-Sea,conditional_connectivity_pct,49,0.05623022786704581,0.034908500159450254,0.698030196980302,10,4,2.0408163265306123,0.6,avonmouth-p060-uk;boulogne-sur-mer;dieppe;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk,bangor-p662-uk;boulogne-sur-mer;delfzijl-del-nl;hinkleypoint-p003-uk;ilfracombe-p061-uk;malin-head-834a-ireland;port-tudy;portpatrick-p063-uk;sthelier-p074-uk;tobermory-p223-uk,British-North-Sea,19
